nom_rue,nom_commune,date_installation,num_materiel_evoserv,ent_vmoy,ent_v30,ent_v50,ent_v85,sor_vmoy,sor_v30,sor_v50,sor_v85,fid,geo_point_2d
22 RD 529,Notre-Dame-de-Commiers,mars 2017,4097.0,,,,,,,,,39,"45.01001691464372, 5.700222237272016"
avenue des Maquis du Gresivaudan,Saint-Egrève,,3731.0,,,,,,,,,40,"45.23552630477494, 5.6921264513220455"
Avenue de la Monta,Saint-Egrève,,3730.0,,,,,,,,,41,"45.2336592277722, 5.686551048283146"
RD1091,Séchilienne,decembre 2016,4053.0,105.0,42.0,47.0,60.0,79.0,47.0,53.0,67.0,42,"45.053347746725365, 5.827314758017104"
121 L'Ile,Séchilienne,decembre 2016,4065.0,65.0,38.0,43.0,54.0,56.0,37.0,43.0,53.0,43,"45.05257147660253, 5.836093172504586"
14 avenue du 8 mai 1945,Echirolles,mars 2017,4211.0,60.0,28.0,32.0,42.0,78.0,23.0,28.0,40.0,44,"45.14415048959401, 5.715993304136724"
57 avenue du Vercors,Seyssinet Pariset,mars 2017,4190.0,52.0,20.0,23.0,32.0,54.0,23.0,27.0,38.0,45,"45.179234637303054, 5.687367551518373"
21 avenue de Grugliasco,Echirolles,mars 2017,4210.0,53.0,25.0,29.0,37.0,50.0,23.0,29.0,40.0,46,"45.14961898852236, 5.719107270286227"
43 avenue Aristide Berges,Seyssinet Pariset,mars 2017,4200.0,67.0,29.0,33.0,42.0,59.0,24.0,29.0,41.0,47,"45.18445692674094, 5.692959403097668"
28 rue Aime Bouchayer,Seyssinet Pariset,mars 2017,4201.0,59.0,28.0,33.0,42.0,55.0,24.0,29.0,41.0,48,"45.182748583075835, 5.694176523567626"
10 rue de stalingrad,Echirolles,mars 2017,4202.0,56.0,25.0,28.0,35.0,52.0,26.0,29.0,36.0,49,"45.13607482986421, 5.715474797032899"
270 route de Bon Repos,Jarrie,avril 2017,4062.0,61.0,36.0,40.0,49.0,59.0,38.0,42.0,51.0,50,"45.109927842465744, 5.758402172177387"
23 Avenue Danielle Casanova,Echirolles,mars 2017,4197.0,51.0,25.0,29.0,38.0,53.0,24.0,29.0,38.0,51,"45.14530303681837, 5.700903157047397"
344 route de la Combe,Jarrie,avril 2017,4192.0,68.0,40.0,43.0,52.0,64.0,40.0,44.0,53.0,52,"45.10623733616127, 5.755920607508215"
6 boulevard de la Resistance,Vif,avril 2017,4245.0,62.0,30.0,34.0,43.0,67.0,30.0,35.0,43.0,53,"45.0521600235429, 5.675266479001297"
3 boulevard Faidherbe,Vif,avril 2017,4247.0,,,,,,,,,54,"45.05683027924116, 5.667480168582541"
89 avenue de la Gare,Vif,avril 2017,4248.0,83.0,42.0,46.0,58.0,78.0,46.0,51.0,62.0,55,"45.048931772158355, 5.684903646457771"
9 boulevard de la Resistance,Vif,avril 2017,4246.0,80.0,29.0,34.0,44.0,51.0,28.0,34.0,45.0,56,"45.0515027370831, 5.673748529479378"
,Gières,,4306.0,,,,,,,,,57,"45.181649161846394, 5.790253628181559"
route du Gua,Proveysieux,decembre 2016,4102.0,,,,,,,,,58,"45.265001841638274, 5.700015516142765"
765 route de la Commanderie,Notre-Dame-de-Mésage,avril 2017,4193.0,62.0,26.0,32.0,42.0,50.0,26.0,33.0,42.0,59,"45.072602865812556, 5.758705482673981"
D105A,Quaix-en-Chartreuse,mai 2017,4064.0,,,,,,,,,60,"45.25290527418286, 5.716324412313325"
D105A,Quaix-en-Chartreuse,mai 2017,4266.0,47.0,29.0,33.0,39.0,43.0,29.0,32.0,38.0,61,"45.25292522766903, 5.720620423311332"
326 route du Connex,Saint-Pierre-de-Mésage,novembre 2016,4044.0,47.0,27.0,33.0,43.0,55.0,28.0,33.0,44.0,62,"45.0548657876708, 5.764165869827403"
13 rue de la Contamine,Saint-Egrève,mars 2017,4208.0,43.0,23.0,27.0,36.0,54.0,28.0,32.0,41.0,63,"45.23215853752078, 5.677160377348067"
39 rue du Muret,Saint-Egrève,mars 2017,4205.0,53.0,29.0,33.0,42.0,55.0,28.0,32.0,40.0,64,"45.22728943279775, 5.689812304539808"
18 rue de l'Isere,Saint-Egrève,mars 2017,4206.0,64.0,30.0,35.0,44.0,52.0,33.0,37.0,46.0,65,"45.22822649417111, 5.6807671158673205"
Le Sappey,Saint-Barthélemy-de-Séchilienne,juillet 2017,4292.0,,,,,,,,,66,"45.03748276263431, 5.810207199107335"
309 rue Jean Jaurès,Vizille,novembre 2016,4045.0,52.0,26.0,31.0,43.0,75.0,26.0,31.0,42.0,67,"45.076037278972564, 5.769135997104587"
,Herbeys,,4048.0,,,,,,,,,68,"45.14133544223993, 5.791649400442571"
,Herbeys,,4002.0,,,,,,,,,69,"45.14040173564196, 5.790705536530771"
,Vif,,4203.0,,,,,,,,,70,"45.038650862292016, 5.671708035224726"
Av du maquis de l'oisans,Le Pont-de-Claix,,4387.0,,,,,,,,,71,"45.11982213065401, 5.7010978348004375"
Av des 120 toises,Le Pont-de-Claix,,4375.0,,,,,,,,,72,"45.13857196129812, 5.698326104442782"
Rue mozart,Le Pont-de-Claix,,4388.0,,,,,,,,,73,"45.128964055441486, 5.695374854327587"
Av Victor Hugo,Le Pont-de-Claix,,4389.0,,,,,,,,,74,"45.134855593484936, 5.697113154068591"
Cote Corenc,Le Sappey-en-Chartreuse,,4426.0,,,,,,,,,75,"45.25957685317591, 5.777295225911744"
Rue Lesdigueres,Claix,,4198.0,69.0,42.0,45.0,54.0,84.0,43.0,47.0,58.0,76,"45.115662459349714, 5.68833942667339"
15 avenue de Valence,Sassenage,decembre 2016,4090.0,64.0,28.0,34.0,46.0,77.0,29.0,35.0,47.0,77,"45.2089163547367, 5.662262791085971"
,,,5420.0,,,,,,,,,78,"45.21278786771325, 5.6594924598089715"
33 avenue Jean Jaurès,Eybens,novembre 2016,4009.0,41.0,27.0,31.0,39.0,45.0,22.0,26.0,35.0,79,"45.16092701809161, 5.744561370254147"
141 avenue Jean Jaures,Eybens,septembre 2016,4004.0,43.0,24.0,28.0,37.0,39.0,23.0,27.0,36.0,80,"45.14873041544522, 5.750813246642649"
