id,nom_comm,code_insee,nom_rue,nom_axe,date_deb,date_fin,p_7h_8h,p_8h_9h,p_9h_10h,p_10h_11h,p_11h_12h,p_12h_13h,p_13h_14h,p_14h_15h,p_15h_16h,p_16h_17h,p_17h_18h,p_18h_19h,p_tot_am,p_tot_pm,p_tot_jour,moy_am,moy_pm,freq_max,h_freq_max,freq_min,h_freq_min,orien_etiq,orien,num_poste,num_ope,fid,geo_point_2d
16,Grenoble,38185,"Rue de Bonne","Rue de Bonne",20190926,20190926,74,101,178,285,387,431,492,494,611,710,765,765,1025,4268,5293,205,610,765,"17h00 - 18h00",74,"07h00 - 08h00",,,1003,160,23,"45.18967189362694, 5.726798851113477"
17,Grenoble,38185,"Rue de la Poste","Rue de la Poste",20190926,20190926,38,56,91,120,135,183,171,155,237,236,185,185,440,1352,1792,88,193,237,"15h00 - 16h00",38,"07h00 - 08h00",,,1002,160,24,"45.1896019076964, 5.727289557269652"
18,Grenoble,38185,"Rue Général Mangin","Rue Général Mangin",20190926,20190926,13,31,57,57,36,23,16,119,65,109,57,42,194,431,625,39,62,119,"14h00 - 15h00",13,"07h00 - 08h00",,,1018,160,25,"45.177317600060434, 5.71797508757716"
19,Grenoble,38185,"Avenue Jean Perrot","Avenue Jean Perrot",20190926,20190926,33,52,60,50,64,57,51,57,61,89,114,116,259,545,804,52,78,116,"18h00 - 19h00",33,"07h00 - 08h00",,,1019,160,26,"45.172334730661994, 5.739084795591048"
20,Grenoble,38185,"Boulevard maréchal Lyautey","Boulevard maréchal Lyautey",20190926,20190926,234,475,292,362,466,634,553,577,565,671,904,644,1829,4548,6377,366,650,904,"17h00 - 18h00",234,"07h00 - 08h00",,,1021,160,27,"45.18546923981406, 5.731211633996705"
21,Grenoble,38185,"Rue Lesdiguieres","Rue Lesdiguieres",20190926,20190926,160,226,193,196,187,304,204,219,249,235,361,385,962,1957,2919,192,280,385,"18h00 - 19h00",160,"07h00 - 08h00",,,1020,160,28,"45.185582094487316, 5.723160355130575"
22,Grenoble,38185,"Boulevard Agutte Sembat","Boulevard Agutte Sembat",20190926,20190926,146,304,213,195,283,347,350,405,370,483,635,527,1141,3117,4258,228,445,635,"17h00 - 18h00",146,"07h00 - 08h00",,,1022,160,29,"45.186512405018284, 5.728224443610816"
64,GRENOBLE,38185,"Pont Saint-Laurent",NC,20170328,20170328,,118,111,,,,258,238,302,350,337,385,547,1928,2128,136,304,385,,,,,,,,30,"45.194430000018976, 5.729133"
65,GRENOBLE,38185,"7 Rue de la Poste",NC,20151203,20151203,,102,211,,,,461,462,565,511,304,195,313,2971,3284,156,424,565,,,,,,1002,,31,"45.189602000018986, 5.727290000000001"
66,GRENOBLE,38185,"7 Rue de Bonne",NC,20151203,20151203,,195,209,,,,651,505,784,633,539,479,404,4010,4414,202,572,784,,,,,,1003,,32,"45.18967200001898, 5.726799"
