id,nom_comm,code_insee,nom_rue,nom_axe,date_deb,date_fin,e_7h_8h,e_8h_9h,e_9h_10h,e_10h_11h,e_11h_12h,e_12h_13h,e_13h_14h,e_14h_15h,e_15h_16h,e_16h_17h,e_17h_18h,e_18h_19h,e_tot_am,e_tot_pm,e_tot_jour,moy_am,moy_pm,freq_max,h_freq_max,freq_min,h_freq_min,num_poste,num_ope,fid,geo_point_2d
186,Grenoble,38185,"Place Paul Mistral","Place Paul Mistral",20210923,20210923,17,30,18,16,22,21,22,32,23,39,47,48,103,232,335,21,33,48,"18h00 - 19h00",16,"10h00 - 11h00","OPE 308-P05B","OPE 308",22,"45.18497600001902, 5.732359999999999"
187,Grenoble,38185,"Place Paul Mistral","Place Paul Mistral",20210923,20210923,0,0,0,0,0,7,3,3,8,2,3,2,0,28,28,0,4,8,"15h00 - 16h00",0,"07h00 - 08h00","OPE 308-P05A","OPE 308",23,"45.185068000019015, 5.732668999999999"
188,Grenoble,38185,"Rue Jean Bistési","Rue Jean Bistési",20210923,20210923,14,15,14,3,12,14,13,22,23,22,34,25,58,153,211,12,22,34,"17h00 - 18h00",3,"10h00 - 11h00","OPE 308-P04B","OPE 308",24,"45.184767000019015, 5.731569000000001"
189,Grenoble,38185,"Rue Jean Bistési","Rue Jean Bistési",20210923,20210923,6,4,4,3,2,4,3,11,5,8,12,10,19,53,72,4,8,12,"17h00 - 18h00",2,"11h00 - 12h00","OPE 308-P04A","OPE 308",25,"45.184739000019015, 5.731779999999998"
190,Grenoble,38185,"Boulevard Maréchal Lyautey","Boulevard Maréchal Lyautey",20210923,20210923,1,8,0,1,3,4,6,9,3,13,7,2,13,44,57,3,6,13,"16h00 - 17h00",0,"09h00 - 10h00","OPE 308-P03B","OPE 308",26,"45.18573800001902, 5.730309999999999"
191,Grenoble,38185,"Boulevard Maréchal Lyautey","Boulevard Maréchal Lyautey",20210923,20210923,36,53,23,23,28,40,36,53,51,54,86,81,163,401,564,33,57,86,"17h00 - 18h00",23,"09h00 - 10h00","OPE 308-P03A","OPE 308",27,"45.18556800001901, 5.730247000000001"
192,Grenoble,38185,"Rue du Manège","Rue du Manège",20210923,20210923,8,4,3,0,6,8,5,18,11,12,9,11,21,74,95,4,11,18,"14h00 - 15h00",0,"10h00 - 11h00","OPE 308-P02B","OPE 308",28,"45.185701000019, 5.731907999999998"
193,Grenoble,38185,"Rue du Manège","Rue du Manège",20210923,20210923,1,2,3,3,0,1,2,6,7,3,3,1,9,23,32,2,3,7,"15h00 - 16h00",0,"11h00 - 12h00","OPE 308-P02A","OPE 308",29,"45.18564700001902, 5.732141"
194,Grenoble,38185,"Boulevard Jean Pain","Boulevard Jean Pain",20210923,20210923,0,4,2,1,2,4,4,5,2,2,3,1,9,21,30,2,3,5,"14h00 - 15h00",0,"07h00 - 08h00","OPE 308-P01B","OPE 308",30,"45.18589500001901, 5.733129"
195,Grenoble,38185,"Boulevard Jean Pain","Boulevard Jean Pain",20210923,20210923,27,39,27,16,7,7,15,8,14,18,39,95,116,196,312,23,28,95,"18h00 - 19h00",7,"11h00 - 12h00","OPE 308-P01A","OPE 308",31,"45.18569400001902, 5.733258000000001"
