nom_comm,code_insee,nom_carr,nom_axe,date,type_compt,remarque,id,num_poste,id_metro,num_ope,fid,geo_point_2d
GRENOBLE,38185,"Bd. Clemenceau / Av. Jeanne d'Arc","Bd. Clemenceau",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C6",C6,638,"OPE 340",498,"8.280972197136629, -9.899271819660948"
GRENOBLE,38185,"Rue Leon Jouhaux/ Rue Claude Genin","Rue Leon Jouhaux",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C7",C7,639,"OPE 340",499,"8.280972156635464, -9.89927182276736"
GRENOBLE,38185,"Av. Jeanne d'Arc/ Rue Claude Genin","Av. Jeanne d'Arc",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C8",C8,640,"OPE 340",500,"8.28097216825444, -9.899271800259013"
GRENOBLE,38185,"Rue Claude Genin / Av. Jules Vallés","Rue Claude Genin",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C9",C9,641,"OPE 340",501,"8.28097217680183, -9.899271777462191"
GRENOBLE,38185,"Av. du Grand Châtelet / Rue Marius Blanchet","Av. du Grand Châtelet",20210111,DIRECTIONNEL,Aucune.,"OPE 340-C10",C10,642,"OPE 340",502,"8.280972150257178, -9.899271761222575"
ECHIROLLES,38151,"Avenue d'Honhoue / Rue Léon Fournier","Avenue d'Honhoue",20211214,DIRECTIONNEL,Aucune.,"OPE 343-C1",C1,643,"OPE 343",503,"8.280971901476436, -9.899272039547071"
ECHIROLLES,38151,"Avenue d'Honhoue / Rue Pierre Semard","Avenue d'Honhoue",20211214,DIRECTIONNEL,Aucune.,"OPE 343-C2",C2,644,"OPE 343",504,"8.28097189882472, -9.899272025957192"
ECHIROLLES,38151,"Cours Jean Jaurès / Avenue d'Honhoue","Cours Jean Jaurès",20211214,DIRECTIONNEL,Aucune.,"OPE 343-C3",C3,645,"OPE 343",505,"8.280971902775711, -9.899272047485612"
GRENOBLE,38185,"Av. Jean Perrot / Bd. Des Diables Bleus","Av. Jean Perrot",20220118,DIRECTIONNEL,Aucune.,"OPE 344-C1",C1,646,"OPE 344",506,"8.280972169061798, -9.899271885960431"
GRENOBLE,38185,"Av. Paul Eluard / Av. Jean Jaurès","Av. Paul Eluard",20220118,DIRECTIONNEL,Aucune.,"OPE 344-C10",C10,647,"OPE 344",507,"8.280972040747995, -9.899271794874258"
GRENOBLE,38185,"Rue du Vercors / Rue Jean Jaurès","Rue du Vercors",20220118,DIRECTIONNEL,Aucune.,"OPE 344-C11",C11,648,"OPE 344",508,"8.28097201940654, -9.899271779702898"
GRENOBLE,38185,"Av. Jean Jaurès / Rue Eugène Ravanat","Av. Jean Jaurès",20220118,DIRECTIONNEL,Aucune.,"OPE 344-C12",C12,649,"OPE 344",509,"8.280971997471935, -9.89927176361711"
GRENOBLE,38185,"Av. des Maquis de l'Oisans / Av. Jean Jaurès","Av. des Maquis de l'Oisans",20220118,DIRECTIONNEL,Aucune.,"OPE 344-C13",C13,650,"OPE 344",510,"8.280971928145958, -9.899271713789526"
GRENOBLE,38185,"Av. Albert 1er de Belgique / Av. Jean Perrot","Av. Albert 1er de Belgique",20220118,DIRECTIONNEL,Aucune.,"OPE 344-C2",C2,651,"OPE 344",511,"8.28097215906113, -9.899271878379448"
GRENOBLE,38185,"Rue Mallifaud / Av. Jean Perrot","Rue Mallifaud",20220118,DIRECTIONNEL,Aucune.,"OPE 344-C3",C3,652,"OPE 344",512,"8.280972149484201, -9.899271872772257"
GRENOBLE,38185,"Rue de la Sta Ponsard / Av. Jean Perrot","Rue de la Sta Ponsard",20220118,DIRECTIONNEL,Aucune.,"OPE 344-C4",C4,653,"OPE 344",513,"8.280972117257937, -9.899271849066228"
GRENOBLE,38185,"Av. Jean Perrot / Rue Ponsard","Av. Jean Perrot",20220118,DIRECTIONNEL,Aucune.,"OPE 344-C5",C5,654,"OPE 344",514,"8.280972113304538, -9.89927184676073"
GRENOBLE,38185,"Av. des Jeaux Olympiques / Av. Jean Perrot","Av. des Jeaux Olympiques",20220118,DIRECTIONNEL,Aucune.,"OPE 344-C6",C6,655,"OPE 344",515,"8.28097209841356, -9.899271835582999"
GRENOBLE,38185,"Rue Georges de Manteyer / Av. Jean Perrot","Rue Georges de Manteyer",20220118,DIRECTIONNEL,Aucune.,"OPE 344-C7",C7,656,"OPE 344",516,"8.280972087864981, -9.899271828043796"
GRENOBLE,38185,"Rue Cardinal le Camus / Av. Jean Perrot","Rue Cardinal le Camus",20220118,DIRECTIONNEL,Aucune.,"OPE 344-C8",C8,657,"OPE 344",517,"8.280972057906403, -9.899271806363897"
GRENOBLE,38185,"Rue Galilée / Av. Jean Perrot","Rue Galilée",20220118,DIRECTIONNEL,Aucune.,"OPE 344-C9",C9,658,"OPE 344",518,"8.280972044964564, -9.899271797535931"
VARCES-ALLIÈRES-ET-RISSET,38524,"Avenue Joliot Curie / Rue de Beauregard","Avenue Joliot Curie",20210118,DIRECTIONNEL,Aucune.,"OPE 349-C1",C1,659,"OPE 349",519,"8.280971441514819, -9.899272149475708"
VARCES-ALLIÈRES-ET-RISSET,38524,"Avenue Joliot Curie / Rue Charles de Gaulle","Avenue Joliot Curie",20210118,DIRECTIONNEL,Aucune.,"OPE 349-C2",C2,660,"OPE 349",520,"8.28097141141415, -9.899272146414626"
VARCES-ALLIÈRES-ET-RISSET,38524,"Avenue Joliot Curie / Rue Jean Jaurès","Avenue Joliot Curie",20210118,DIRECTIONNEL,Aucune.,"OPE 349-C3",C3,661,"OPE 349",521,"8.280971388917404, -9.899272146760174"
CHAMP-SUR-DRAC,38071,"Avenue du Pavillon / Rue de Verdun","Avenue du Pavillon",20220203,DIRECTIONNEL,Aucune.,"OPE 353-C1",C1,662,"OPE 353",522,"8.28097140320185, -9.899271752451737"
"LE PONT DE CLAIX",38317,"Cours Saint-André / Rue Lavoisier","Cours Saint-André",20220315,DIRECTIONNEL,Aucune.,"OPE 363-C1",C1,663,"OPE 363",523,"8.280971763461451, -9.899272070746756"
SAINT-EGRÈVE,38382,"Avenue de Karben / Route de Lyon","Avenue de Karben",20220414,DIRECTIONNEL,Aucune.,"OPE 364-C1",C1,664,"OPE 364",524,"8.28097253479422, -9.89927242493534"
GRENOBLE,38185,"Rue Ampère / Rue Raspail","Rue Ampère",20220519,DIRECTIONNEL,Aucune.,"OPE 371-C1",C1,665,"OPE 371",525,"8.280972122943313, -9.899272093296792"
GRENOBLE,38185,"Avenue Rhin et Danube / Rue des Champs Elysées","Avenue Rhin et Danube",20220519,DIRECTIONNEL,Aucune.,"OPE 371-C2",C2,666,"OPE 371",526,"8.280972103842476, -9.899272091235806"
GRENOBLE,38185,"Avenue Rhin et Danube / Rue Alexandre Dumas","Avenue Rhin et Danube",20220519,DIRECTIONNEL,Aucune.,"OPE 371-C3",C3,667,"OPE 371",527,"8.280972097228204, -9.899272090506397"
GRENOBLE,38185,"Avenue Rhin et Danube / Rue Joseph Bouchayer","Avenue Rhin et Danube",20220519,DIRECTIONNEL,Aucune.,"OPE 371-C4",C4,668,"OPE 371",528,"8.280972093961276, -9.899272090247658"
GRENOBLE,38185,"Rue Ampère / Rue Raspail","Rue Ampère",20220519,DIRECTIONNEL,Aucune.,"OPE 371-C1",C1,669,"OPE 371",529,"8.280972122943313, -9.899272093296792"
GRENOBLE,38185,"Avenue Rhin et Danube / Rue des Champs Elysées","Avenue Rhin et Danube",20220519,DIRECTIONNEL,Aucune.,"OPE 371-C2",C2,670,"OPE 371",530,"8.280972103842476, -9.899272091235806"
GRENOBLE,38185,"Avenue Rhin et Danube / Rue Alexandre Dumas","Avenue Rhin et Danube",20220519,DIRECTIONNEL,Aucune.,"OPE 371-C3",C3,671,"OPE 371",531,"8.280972097228204, -9.899272090506397"
GRENOBLE,38185,"Avenue Rhin et Danube / Rue Joseph Bouchayer","Avenue Rhin et Danube",20220519,DIRECTIONNEL,Aucune.,"OPE 371-C4",C4,672,"OPE 371",532,"8.280972093961276, -9.899272090247658"
GRENOBLE,38185,"Cours Berriat / Rue Pierre Semard","Cours Berriat",20220512,DIRECTIONNEL,Aucune.,"OPE 374-C1",C1,673,"OPE 374",533,"8.280972182899214, -9.899272031080018"
GRENOBLE,38185,"Cours Berriat / Rue Colonel Denfer","Cours Berriat",20220512,DIRECTIONNEL,Aucune.,"OPE 374-C2",C2,674,"OPE 374",534,"8.280972183686288, -9.899272020868231"
GRENOBLE,38185,"Cours Berriat / Cours Jean Jaurès","Cours Berriat",20220512,DIRECTIONNEL,Aucune.,"OPE 374-C3",C3,675,"OPE 374",535,"8.280972185726235, -9.899271999915182"
GRENOBLE,38185,"Cours Berriat / Rue Nicolas Chorier","Cours Berriat",20220512,DIRECTIONNEL,Aucune.,"OPE 374-C4",C4,676,"OPE 374",536,"8.280972168673005, -9.899272002829365"
GRENOBLE,38185,"Avenue de Vizille / Rue Nicolas Chorier","Avenue de Vizille",20220512,DIRECTIONNEL,Aucune.,"OPE 374-C5",C5,677,"OPE 374",537,"8.28097216717252, -9.899272014594429"
GRENOBLE,38185,"Cours Berriat / Rue Colonel Denfer","Cours Berriat",20220512,DIRECTIONNEL,Aucune.,"OPE 374-C2",C2,679,"OPE 374",538,"8.280972183686288, -9.899272020868231"
GRENOBLE,38185,"Cours Berriat / Cours Jean Jaurès","Cours Berriat",20220512,DIRECTIONNEL,Aucune.,"OPE 374-C3",C3,680,"OPE 374",539,"8.280972185726235, -9.899271999915182"
GRENOBLE,38185,"Cours Berriat / Rue Nicolas Chorier","Cours Berriat",20220512,DIRECTIONNEL,Aucune.,"OPE 374-C4",C4,681,"OPE 374",540,"8.280972168673005, -9.899272002829365"
GRENOBLE,38185,"Avenue de Vizille / Rue Nicolas Chorier","Avenue de Vizille",20220512,DIRECTIONNEL,Aucune.,"OPE 374-C5",C5,682,"OPE 374",541,"8.28097216717252, -9.899272014594429"
GRENOBLE,38185,"Cours de la Libération / Rue Anatole France","Cours de la Libération",20220519,DIRECTIONNEL,Aucune.,"OPE 378-C1",C1,683,"OPE 378",542,"8.280972078861124, -9.899272017463451"
GRENOBLE,38185,"Cours de la Libération / Rue Anatole France","Cours de la Libération",20220519,DIRECTIONNEL,Aucune.,"OPE 378-C1",C1,684,"OPE 378",543,"8.280972078861124, -9.899272017463451"
GRENOBLE,38185,"Rue Marceau / Rue André Maginot","Rue Marceau",20220519,DIRECTIONNEL,Aucune.,"OPE 383-C1",C1,685,"OPE 383",544,"8.280972168673005, -9.899272002829365"
GRENOBLE,38185,"Rue Marceau / Rue André Maginot","Rue Marceau",20220519,DIRECTIONNEL,Aucune.,"OPE 383-C1",C1,686,"OPE 383",545,"8.280972168673005, -9.899272002829365"
SAINT-EGRÈVE,38382,"Avenue de l'Île Brune / Rue du Lac","Avenue de l'Île Brune",20220519,DIRECTIONNEL,Aucune.,"OPE 387-C1",C1,687,"OPE 387",546,"8.280972472555664, -9.899272428739268"
SAINT-EGRÈVE,38382,"Avenue de l'Île Brune / Rue du Lac","Avenue de l'Île Brune",20220519,DIRECTIONNEL,Aucune.,"OPE 387-C1",C1,688,"OPE 387",547,"8.280972472555664, -9.899272428739268"
CORENC,38126,"Avenue du Grésivaudan / Av. du Cèdre","Avenue du Grésivaudan",20220519,DIRECTIONNEL,Aucune.,"OPE 391-C1",C1,689,"OPE 391",548,"8.280972374585122, -9.899271747799848"
GRENOBLE,38185,"Boulevard Maréchal Foch / Rue Marceau","Boulevard Maréchal Foch",20220607,DIRECTIONNEL,Aucune.,"OPE 396-C1",C1,690,"OPE 396",549,"8.28097213772321, -9.899271960465446"
GRENOBLE,38185,"Boulevard Maréchal Foch / Rue Marceau","Boulevard Maréchal Foch",20220607,DIRECTIONNEL,Aucune.,"OPE 396-C1",C1,691,"OPE 396",550,"8.28097213772321, -9.899271960465446"
GIÈRES,38179,"Grand'Rue / Rue de la Gare",Grand'Rue,20210119,DIRECTIONNEL,"Quelques incivilités sur ce carrefour","OPE 258-C1",C1,768,"OPE 258",551,"45.18149500001902, 5.788105"
GIÈRES,38179,"Grand'Rue / Rue de la Plaine",Grand'Rue,20210119,DIRECTIONNEL,Aucune.,"OPE 258-C2",C2,769,"OPE 258",552,"45.18157100001903, 5.789113"
ECHIROLLES,38151,"Avenue Auguste Ferrier / Rue de la Paix","Avenue Auguste Ferrier",20210107,DIRECTIONNEL,Aucune.,"OPE 254-C01",C01,770,"OPE 254",553,"45.14466200001914, 5.710543999999998"
ECHIROLLES,38151,"Avenue Auguste Ferrier / Rue de la Paix","Avenue Auguste Ferrier",20210107,DIRECTIONNEL,Aucune.,"OPE 254-C02",C02,771,"OPE 254",554,"45.14273600001913, 5.708795000000001"
GRENOBLE,38185,"Rue de Stalingrad / Rue Général Ferrié","Rue de Stalingrad",20210223,DIRECTIONNEL,"Vélos sur route","OPE 267-C1",C1,772,"OPE 267",555,"45.17516700001904, 5.725535000000001"
GRENOBLE,38185,"Rue de Stalingrad / Rue des Alliés","Rue de Stalingrad",20210223,DIRECTIONNEL,Aucune.,"OPE 267-C2",C2,773,"OPE 267",556,"45.171745000019044, 5.724327999999998"
GRENOBLE,38185,"Rue Honoré de Balzac / Rue Jacquard","Rue Honoré de Balzac",20210223,DIRECTIONNEL,Aucune.,"OPE 267-C3",C3,774,"OPE 267",557,"45.17449400001905, 5.724529"
GRENOBLE,38185,"Rue de Stalingrad / Rue des Alliés","Rue de Stalingrad",20210223,DIRECTIONNEL,Aucune.,"OPE 267-C4",C4,775,"OPE 267",558,"45.171745000019044, 5.724327999999998"
VARCES-ALLIÈRES-ET-RISSET,38524,"RD1075 / Maison d'arrêt",RD1075,20210223,DIRECTIONNEL,Aucune.,"OPE 275-C1",C1,776,"OPE 275",559,"45.09923300001925, 5.684431"
VARCES-ALLIÈRES-ET-RISSET,38524,"RD1075 / Rue de l'Industrie",RD1075,20210223,DIRECTIONNEL,Aucune.,"OPE 275-C2",C2,777,"OPE 275",560,"45.097234000019256, 5.683778"
VARCES-ALLIÈRES-ET-RISSET,38524,"RD1075 / Rue Pierre Termier",RD1075,20210223,DIRECTIONNEL,Aucune.,"OPE 275-C3",C3,778,"OPE 275",561,"45.09358700001928, 5.683766999999999"
DOMÈNE,38150,"RD11K / Route de Savoie",RD11K,20210330,DIRECTIONNEL,Aucune.,"OPE 280-C1",C1,779,"OPE 280",562,"45.20729500001894, 5.848301"
SASSENAGE,38474,"Rue de l'Argentière / Rue de la Sûre","Rue de l'Argentière",20210401,DIRECTIONNEL,Aucune.,"OPE 283-C1",C1,780,"OPE 283",563,"45.20564300001896, 5.682438999999999"
SASSENAGE,38474,"Rue de l'Argentière / Rue de la Sûre","Rue de l'Argentière",20210408,DIRECTIONNEL,Aucune.,"OPE 283-C1",C1,781,"OPE 283",564,"45.20564300001896, 5.682438999999999"
CHAMPAGNIER,38068,"RN85 / RD1085A",RN85,20210408,DIRECTIONNEL,Aucune.,"OPE 284-C1",C1,782,"OPE 284",565,"45.10266300001924, 5.713674999999998"
CHAMPAGNIER,38068,"RN85 / RD1085A",RN85,20210408,DIRECTIONNEL,Aucune.,"OPE 284-C1",C1,783,"OPE 284",566,"45.10266300001924, 5.713674999999998"
CHAMPAGNIER,38068,"RN85 / RD1085A",RN85,20210330,DIRECTIONNEL,Aucune.,"OPE 284-C1",C1,784,"OPE 284",567,"45.10266300001924, 5.713674999999998"
JARRIE,38200,"Route de Vizille / Route de l'Electro-Chimie","Route de Vizille",20210408,DIRECTIONNEL,Aucune.,"OPE 284-C2",C2,785,"OPE 284",568,"45.0884500000193, 5.731159000000001"
JARRIE,38200,"Route de Vizille / Route de l'Electro-Chimie","Route de Vizille",20210408,DIRECTIONNEL,Aucune.,"OPE 284-C2",C2,786,"OPE 284",569,"45.0884500000193, 5.731159000000001"
JARRIE,38200,"Route de Vizille / Route de l'Electro-Chimie","Route de Vizille",20210330,DIRECTIONNEL,Aucune.,"OPE 284-C2",C2,787,"OPE 284",570,"45.0884500000193, 5.731159000000001"
JARRIE,38200,"Route de Vizille / Arkema","Route de Vizille",20210408,DIRECTIONNEL,Aucune.,"OPE 284-C3",C3,788,"OPE 284",571,"45.08510400001929, 5.739363"
JARRIE,38200,"Route de Vizille / Arkema","Route de Vizille",20210408,DIRECTIONNEL,Aucune.,"OPE 284-C3",C3,789,"OPE 284",572,"45.08510400001929, 5.739363"
JARRIE,38200,"Route de Vizille / Avenue de la Gare","Route de Vizille",20210408,DIRECTIONNEL,Aucune.,"OPE 284-C4",C4,790,"OPE 284",573,"45.08378800001928, 5.742895999999998"
JARRIE,38200,"Route de Vizille / Avenue de la Gare","Route de Vizille",20210408,DIRECTIONNEL,Aucune.,"OPE 284-C4",C4,791,"OPE 284",574,"45.08378800001928, 5.742895999999998"
MEYLAN,38229,"Chemin du Vieux Chêne / Avenue du Taillefer","Chemin du Vieux Chêne",20210506,DIRECTIONNEL,Aucune.,"OPE 291-C1",C1,792,"OPE 291",575,"45.20752900001896, 5.783432000000002"
MEYLAN,38229,"Avenue du Granier / Avenue du Taillefer","Avenue du Granier",20210506,DIRECTIONNEL,Aucune.,"OPE 291-C2",C2,793,"OPE 291",576,"45.20977600001895, 5.782175999999999"
MEYLAN,38229,"Avenue du Vercors / Avenue de Verdun","Avenue du Vercors",20210506,DIRECTIONNEL,Aucune.,"OPE 291-C3",C3,794,"OPE 291",577,"45.207603000018956, 5.768222000000001"
MEYLAN,38229,"Avenue du Granier / Avenue des 4 Chemins","Avenue du Granier",20210506,DIRECTIONNEL,Aucune.,"OPE 291-C4",C4,795,"OPE 291",578,"45.21141000001895, 5.791988999999998"
GRENOBLE,38185,"Avenue Edmond Esmonin / Avenue des Etats Généraux","Avenue Edmond Esmonin",20210916,DIRECTIONNEL,Aucune.,"OPE 301-C1",C1,796,"OPE 301",579,"45.16033800001909, 5.720262"
GRENOBLE,38185,"Avenue Paul Verlaine / Avenue Léon Blum","Avenue Paul Verlaine",20210916,DIRECTIONNEL,Aucune.,"OPE 301-C2",C2,797,"OPE 301",580,"45.161964000019076, 5.715749999999999"
GRENOBLE,38185,"Avenue Victor Hugo / Rue de Bretagne","Avenue Victor Hugo",20210916,DIRECTIONNEL,Aucune.,"OPE 301-C3",C3,798,"OPE 301",581,"45.158824000019095, 5.713539999999999"
GRENOBLE,38185,"Rue de Bretagne / Rue d'Auvergne","Rue de Bretagne",20210916,DIRECTIONNEL,Aucune.,"OPE 301-C4",C4,799,"OPE 301",582,"45.157727000019094, 5.715782"
CHAMPAGNIER,38068,"RN85 / RD64",RN85,20210923,DIRECTIONNEL,Aucune.,"OPE 320-C1",C1,800,"OPE 320",583,"45.09512500001925, 5.72098"
CHAMPAGNIER,38068,"RN85 / RD64",RN85,20210925,DIRECTIONNEL,Aucune.,"OPE 320-C1",C1,801,"OPE 320",584,"45.09512500001925, 5.72098"
FONTAINE,38169,"Pont du Vercors / Quai du Drac","Pont du Vercors",20210923,DIRECTIONNEL,Aucune.,"OPE 322-C1",C1,802,"OPE 322",585,"45.19244000001898, 5.700538999999999"
FONTAINE,38169,"Pont Esclangon / Quai du Drac","Pont Esclangon",20210923,DIRECTIONNEL,"La branche 2 ne différencie pas la RD531 de la voie verte au Nord.","OPE 322-C2",C2,803,"OPE 322",586,"45.189733000019, 5.700622999999998"
FONTAINE,38169,"Quai du Drac / Av. Aristide Briand","Av. Aristide Briand",20210923,DIRECTIONNEL,Aucune.,"OPE 322-C3",C3,804,"OPE 322",587,"45.189056000019015, 5.700542999999999"
ECHIROLLES,38151,"Rue de la Liberté / Rue Paul Langevin","Rue de la Liberté",20211118,DIRECTIONNEL,Aucune.,"OPE 333-C1",C1,805,"OPE 333",588,"45.14634500001913, 5.726572999999998"
SAINT-MARTIN-D'HÈRES,38421,"Avenue Marcel Cachin / Rue du Vercors","Avenue Marcel Cachin",20211118,DIRECTIONNEL,Aucune.,"OPE 334-C1",C1,806,"OPE 334",589,"45.16379900001908, 5.750997999999997"
SAINT-MARTIN-D'HÈRES,38421,"Avenue Marcel Cachin / Avenue Paul Eluard","Avenue Marcel Cachin",20211118,DIRECTIONNEL,Aucune.,"OPE 334-C2",C2,807,"OPE 334",590,"45.165795000019074, 5.747802999999999"
SAINT-MARTIN-D'HÈRES,38421,"Avenue Marcel Cachin / Rue Pierre Loti","Avenue Marcel Cachin",20211118,DIRECTIONNEL,Aucune.,"OPE 334-C3",C3,808,"OPE 334",591,"45.16678600001907, 5.746289999999999"
SAINT-MARTIN-D'HÈRES,38421,"Avenue Marcel Cachin / Rue Léon Jouhaux","Avenue Marcel Cachin",20211118,DIRECTIONNEL,Aucune.,"OPE 334-C4",C4,809,"OPE 334",592,"45.16826100001907, 5.743993999999998"
"LA TRONCHE",38516,"Avenue de Verdun / Avenue du Grand Sablon","Avenue de Verdun",20211116,DIRECTIONNEL,Aucune.,"OPE 338-C1-C2",C1-C2,810,"OPE 338",593,"45.19246600001901, 5.746089999999999"
"LA TRONCHE",38516,"Avenue des Maquis du Grésivaudan / Quai Yermoloff","Avenue des Maquis du Grésivaudan",20211116,DIRECTIONNEL,Aucune.,"OPE 338-C10",C10,811,"OPE 338",594,"45.20108900001898, 5.741877000000001"
GRENOBLE,38185,"Boulevard Maréchal Leclerc / Avenue Saint-Roch","Boulevard Maréchal Leclerc",20211116,DIRECTIONNEL,Aucune.,"OPE 338-C3",C3,812,"OPE 338",595,"45.19122800001901, 5.738510000000001"
GRENOBLE,38185,"Rue Malakoff / Rue Joseph Chanrion","Rue Malakoff",20211116,DIRECTIONNEL,Aucune.,"OPE 338-C4",C4,813,"OPE 338",596,"45.18885800001902, 5.737363"
GRENOBLE,38185,"Boulevard Jean Pain / Rue Joseph Chanrion","Boulevard Jean Pain",20211116,DIRECTIONNEL,Aucune.,"OPE 338-C5",C5,814,"OPE 338",597,"45.187791000019004, 5.738193999999998"
GRENOBLE,38185,"Avenue de Verdun / Rue du 19 Mars 1962","Avenue de Verdun",20211116,DIRECTIONNEL,Aucune.,"OPE 338-C6",C6,815,"OPE 338",598,"45.189403000019006, 5.741960000000001"
GRENOBLE,38185,"Rue Jules Flandrin / Rue du 19 Mars 1962","Rue Jules Flandrin",20211116,DIRECTIONNEL,Aucune.,"OPE 338-C7",C7,816,"OPE 338",599,"45.188157000019004, 5.746057999999998"
"LA TRONCHE",38516,"Boulevard de la Chantourne / Pass. Ricou","Boulevard de la Chantourne",20211116,DIRECTIONNEL,Aucune.,"OPE 338-C8",C8,817,"OPE 338",600,"45.196955000018974, 5.7515149999999995"
"LA TRONCHE",38516,"Boulevard de la Chantourne / Avenue du Grand Sablon","Boulevard de la Chantourne",20211116,DIRECTIONNEL,Aucune.,"OPE 338-C9",C9,818,"OPE 338",601,"45.19705300001898, 5.748517999999999"
ECHIROLLES,38151,"Avenue d'Honhoue / Rue Léon Fournier","Avenue d'Honhoue",20211214,DIRECTIONNEL,Aucune.,"OPE 343-C1",C1,819,"OPE 343",602,"45.151586000019115, 5.707885"
ECHIROLLES,38151,"Avenue d'Honhoue / Rue Pierre Semard","Avenue d'Honhoue",20211214,DIRECTIONNEL,Aucune.,"OPE 343-C2",C2,820,"OPE 343",603,"45.15095300001912, 5.709605000000001"
ECHIROLLES,38151,"Cours Jean Jaurès / Avenue d'Honhoue","Cours Jean Jaurès",20211214,DIRECTIONNEL,Aucune.,"OPE 343-C3",C3,821,"OPE 343",604,"45.151923000019096, 5.706874999999999"
GRENOBLE,38185,"Rue Mallifaud / Rue des deportés du 11 Novembre 1943","Rue Mallifaud",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C1",C1,822,"OPE 340",605,"45.18094600001902, 5.728256999999999"
GRENOBLE,38185,"Av. du Grand Châtelet / Rue Marius Blanchet","Av. du Grand Châtelet",20210111,DIRECTIONNEL,Aucune.,"OPE 340-C10",C10,823,"OPE 340",606,"45.178383000019025, 5.749494999999999"
GRENOBLE,38185,"Rue André Argourges / Av. Jeanne d'Arc","Rue André Argourges",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C11",C11,824,"OPE 340",607,"45.17817700001903, 5.745391999999998"
GRENOBLE,38185,"Rue Léon Jouhaux/ Rue André Argourges","Rue Léon Jouhaux",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C12",C12,825,"OPE 340",608,"45.17736500001904, 5.742994000000001"
GRENOBLE,38185,"Rue de la Sta Ponsard / Av. Jean Perrot","Rue de la Sta Ponsard",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C13",C13,826,"OPE 340",609,"45.175897000019035, 5.737320999999999"
GRENOBLE,38185,"Av. des Jeaux Olympiques / Av. Jean Perrot","Av. des Jeaux Olympiques",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C14",C14,827,"OPE 340",610,"45.17314200001904, 5.738685999999999"
GRENOBLE,38185,"Av. des Jeux Olympiques / Rue Léon Jouhaux","Av. des Jeux Olympiques",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C15",C15,828,"OPE 340",611,"45.17469300001904, 5.745129000000001"
GRENOBLE,38185,"Av. des Jeux Olympiques / Av. Jules Vallés","Av. des Jeux Olympiques",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C16",C16,829,"OPE 340",612,"45.17656000001905, 5.752356999999999"
GRENOBLE,38185,"Rue Mallifaud / Av. Général Champon","Rue Mallifaud",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C2",C2,830,"OPE 340",613,"45.18060300001901, 5.731660999999998"
GRENOBLE,38185,"Rue Mallifaud / Av. Jean Perrot","Rue Mallifaud",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C3",C3,831,"OPE 340",614,"45.180622000019035, 5.734902"
GRENOBLE,38185,"Av. Albert 1er de Belgique / Av. Jean Perrot","Av. Albert 1er de Belgique",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C4",C4,832,"OPE 340",615,"45.181996000019026, 5.734371"
GRENOBLE,38185,"Bd. Clemenceau / Rue Léon Jouhaux","Bd. Clemenceau",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C5",C5,833,"OPE 340",616,"45.18442800001902, 5.740851"
GRENOBLE,38185,"Bd. Clemenceau / Av. Jeanne d'Arc","Bd. Clemenceau",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C6",C6,834,"OPE 340",617,"45.18575900001903, 5.742846000000001"
GRENOBLE,38185,"Rue Leon Jouhaux/ Rue Claude Genin","Rue Leon Jouhaux",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C7",C7,835,"OPE 340",618,"45.18051100001903, 5.741587000000001"
GRENOBLE,38185,"Av. Jeanne d'Arc/ Rue Claude Genin","Av. Jeanne d'Arc",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C8",C8,836,"OPE 340",619,"45.18156300001901, 5.7447729999999995"
GRENOBLE,38185,"Rue Claude Genin / Av. Jules Vallés","Rue Claude Genin",20220111,DIRECTIONNEL,Aucune.,"OPE 340-C9",C9,837,"OPE 340",620,"45.18220600001902, 5.7479320000000005"
GRENOBLE,38185,"Av. Jean Perrot / Bd. Des Diables Bleus","Av. Jean Perrot",20220118,DIRECTIONNEL,Aucune.,"OPE 344-C1",C1,838,"OPE 344",621,"45.183467000019014, 5.733590999999998"
GRENOBLE,38185,"Av. Paul Eluard / Av. Jean Jaurès","Av. Paul Eluard",20220118,DIRECTIONNEL,Aucune.,"OPE 344-C10",C10,839,"OPE 344",622,"45.16472300001908, 5.7427909999999995"
GRENOBLE,38185,"Rue du Vercors / Rue Jean Jaurès","Rue du Vercors",20220118,DIRECTIONNEL,Aucune.,"OPE 344-C11",C11,840,"OPE 344",623,"45.16160500001909, 5.744324000000001"
GRENOBLE,38185,"Av. Jean Jaurès / Rue Eugène Ravanat","Av. Jean Jaurès",20220118,DIRECTIONNEL,Aucune.,"OPE 344-C12",C12,841,"OPE 344",624,"45.15839000001909, 5.745964"
