id,nom_comm,code_insee,nom_rue,nom_axe,date_deb,date_fin,v_7h_8h,v_8h_9h,v_9h_10h,v_10h_11h,v_11h_12h,v_12h_13h,v_13h_14h,v_14h_15h,v_15h_16h,v_16h_17h,v_17h_18h,v_18h_19h,v_tot_am,v_tot_pm,v_tot_jour,moy_am,moy_pm,freq_max,h_freq_max,freq_min,h_freq_min,nb_ac_casq,nb_ss_casq,pc_ac_casq,nb_vae,pc_vae,nb_vmetro,pc_vmetro,nb_vclass,pc_vclass,orien_etiq,orien,num_ope,num_poste,ident,fid,geo_point_2d
848,Echirolles,38151,"Av. de l'Europe","Av. de l'Europe",20210914,20210914,20,33,8,8,13,21,18,12,14,21,41,32,82,159,241,16,23,41,"17h00 - 18h00",8,"09h00 - 10h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P05,"OPE 317-P05-14/09/2021",362,"45.15940500001909, 5.73759"
849,Echirolles,38151,"Rue Raymond Chanas","Rue Raymond Chanas",20210914,20210914,48,118,34,16,17,28,37,25,14,47,100,76,233,327,560,47,47,118,"08h00 - 09h00",14,"15h00 - 16h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P06,"OPE 317-P06-14/09/2021",363,"45.1563730000191, 5.739012999999997"
850,Echirolles,38151,"Rue de Lorraine","Rue de Lorraine",20210914,20210914,15,41,9,6,4,12,11,12,3,6,23,34,75,101,176,15,14,41,"08h00 - 09h00",3,"15h00 - 16h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P07,"OPE 317-P07-14/09/2021",364,"45.153304000019126, 5.726449000000001"
851,Echirolles,38151,"Av. des Etats Généraux","Av. des Etats Généraux",20210914,20210914,32,29,20,12,14,18,16,19,31,20,34,59,107,197,304,21,28,59,"18h00 - 19h00",12,"10h00 - 11h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P08,"OPE 317-P08-14/09/2021",365,"45.1555860000191, 5.718929"
852,Echirolles,38151,"Av. Jean Jaurès","Av. Jean Jaurès",20210914,20210914,75,184,58,50,36,86,86,39,48,80,153,127,403,619,1022,81,88,184,"08h00 - 09h00",36,"11h00 - 12h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P09,"OPE 317-P09-14/09/2021",366,"45.162895000019084, 5.743706999999998"
853,Echirolles,38151,"Av. Jean Jaurès","Av. Jean Jaurès",20210914,20210914,42,73,32,21,24,43,40,17,22,25,48,43,192,238,430,38,34,73,"08h00 - 09h00",17,"14h00 - 15h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P10,"OPE 317-P10-14/09/2021",367,"45.15690100001911, 5.7467060000000005"
854,Echirolles,38151,"Av. Salvador Allende","Av. Salvador Allende",20210914,20210914,12,12,10,5,4,11,4,6,5,14,19,21,43,80,123,9,11,21,"18h00 - 19h00",4,"11h00 - 12h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P11,"OPE 317-P11-14/09/2021",368,"45.15746000001909, 5.726829999999999"
855,Echirolles,38151,"Av. Marie Reynoard","Av. Marie Reynoard",20210914,20210914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"07h00 - 08h00",0,"07h00 - 08h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P14,"OPE 317-P14-14/09/2021",369,"45.15776900001909, 5.728857"
856,Echirolles,38151,Passerelle,Passerelle,20210914,20210914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"07h00 - 08h00",0,"07h00 - 08h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P15,"OPE 317-P15-14/09/2021",370,"45.15889000001909, 5.732919"
857,Echirolles,38151,"Allée de la Prà","Allée de la Prà",20210914,20210914,13,36,16,9,14,6,21,5,15,22,28,20,88,117,205,18,17,36,"08h00 - 09h00",5,"14h00 - 15h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P16,"OPE 317-P16-14/09/2021",371,"45.160028000019075, 5.751106999999999"
858,Echirolles,38151,"Av. de Grugliasco","Av. de Grugliasco",20210914,20210914,0,34,44,18,26,25,48,39,34,35,71,76,122,328,450,24,47,76,"18h00 - 19h00",0,"07h00 - 08h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P17,"OPE 317-P17-14/09/2021",372,"45.14892300001911, 5.721430999999999"
859,Echirolles,38151,"P. Piétons Grand'Place","P. Piétons Grand'Place",20210914,20210914,2,5,3,3,5,5,4,2,5,7,4,5,18,32,50,4,5,7,"16h00 - 17h00",2,"07h00 - 08h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P18,"OPE 317-P18-14/09/2021",373,"45.15900700001909, 5.731483999999999"
860,Echirolles,38151,"P. Piétons Grand'Place","P. Piétons Grand'Place",20210914,20210914,4,2,2,6,6,4,6,3,4,2,3,5,20,27,47,4,4,6,"10h00 - 11h00",2,"08h00 - 09h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P19,"OPE 317-P19-14/09/2021",374,"45.15917900001909, 5.731591000000001"
861,Echirolles,38151,"Av. d'Innsbruck","Av. d'Innsbruck",20210914,20210914,3,30,28,11,15,16,22,9,8,34,47,53,87,189,276,17,27,53,"18h00 - 19h00",3,"07h00 - 08h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P20,"OPE 317-P20-14/09/2021",375,"45.15707300001909, 5.733829999999999"
862,Echirolles,38151,"Av. des FTPF","Av. des FTPF",20210914,20210914,46,97,46,17,20,26,36,30,22,51,82,62,226,309,535,45,44,97,"08h00 - 09h00",17,"10h00 - 11h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P21,"OPE 317-P21-14/09/2021",376,"45.15088700001912, 5.724996999999999"
863,Echirolles,38151,"Av. des Etats Généraux","Av. des Etats Généraux",20210914,20210914,32,40,18,17,17,22,34,26,27,35,46,53,124,243,367,25,35,53,"18h00 - 19h00",17,"10h00 - 11h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P22,"OPE 317-P22-14/09/2021",377,"45.153210000019115, 5.718233000000001"
864,Echirolles,38151,"Rue Lucien Andrieux","Rue Lucien Andrieux",20210914,20210914,19,22,13,15,18,20,21,10,8,22,34,40,87,155,242,17,22,40,"18h00 - 19h00",8,"15h00 - 16h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P23,"OPE 317-P23-14/09/2021",378,"45.161441000019074, 5.720652999999998"
865,Echirolles,38151,"Av. Albert Reynier","Av. Albert Reynier",20210914,20210914,46,59,34,28,38,39,31,24,22,46,86,73,205,321,526,41,46,86,"17h00 - 18h00",22,"15h00 - 16h00",0,0,0,0,0,0,0,0,0,,,"OPE 317",P24,"OPE 317-P24-14/09/2021",379,"45.166979000019055, 5.705762999999999"
866,Brié-et-angonnes,38059,"Route Napoléon","Route Napoléon",20210924,20210930,5,33,4,1,2,4,6,4,1,4,20,8,45,47,92,9,7,33,"08h00 - 09h00",1,"10h00 - 11h00",0,0,0,0,0,0,0,0,0,,,"OPE 321",P01,"OPE 321-P01-24/09/2021",380,"45.13823433001915, 5.7696247099999995"
867,Bresson,38057,"Route de Montavie","Route de Montavie",20210924,20210930,4,4,0,3,1,1,5,3,0,8,5,8,12,30,42,2,4,8,"18h00 - 19h00",0,"09h00 - 10h00",0,0,0,0,0,0,0,0,0,,,"OPE 321",P02,"OPE 321-P02-24/09/2021",381,"45.13261852001917, 5.75052738"
868,Jarrie,38200,"Route du General de Gaulle","Route du General de Gaulle",20210924,20210930,0,3,0,1,0,3,1,2,2,3,4,3,4,18,22,1,3,4,"17h00 - 18h00",0,"09h00 - 10h00",0,0,0,0,0,0,0,0,0,,,"OPE 321",P03,"OPE 321-P03-24/09/2021",382,"45.12194998001919, 5.7597333299999995"
869,Jarrie,38200,"Route du Plâtre","Route du Plâtre",20210924,20210930,0,5,5,7,6,5,13,13,7,4,9,13,23,64,87,5,9,13,"18h00 - 19h00",0,"07h00 - 08h00",0,0,0,0,0,0,0,0,0,,,"OPE 321",P04,"OPE 321-P04-24/09/2021",383,"45.119416910019204, 5.7444334"
870,Champagnier,38068,RD64,RD64,20210924,20210930,9,5,3,3,5,3,3,7,7,4,13,14,25,51,76,5,7,14,"18h00 - 19h00",3,"09h00 - 10h00",0,0,0,0,0,0,0,0,0,,,"OPE 321",P05,"OPE 321-P05-24/09/2021",384,"45.116914990019204, 5.730044979999999"
871,Saint-Martin-d'Hères,3841,"Rue Jules Flandrin","Rue Jules Flandrin",20211116,20211116,28,41,24,12,22,21,18,21,27,29,47,37,127,200,327,25,29,47,"17h00 - 18h00",12,"10h00 - 11h00",0,0,0,0,0,0,0,0,0,,,"OPE 330",P01,"OPE 330-P01-16/11/2021",385,"45.18794600001899, 5.747971999999998"
