mob_arce_id,geo_point_2d,mob_arce_nb,mob_arce_typ,mob_arce_datecre
614,"45.1719562256169,5.73375827625347",12,"nouveau modèle",20040101000000
615,"45.1719055024672,5.73275839421651",10,"nouveau modèle",20040101000000
616,"45.1724947082201,5.73366937538976",4,"nouveau modèle",20040101000000
617,"45.1725809605031,5.73393668253734",6,"nouveau modèle",20040101000000
618,"45.172583020731,5.73416706714865",6,"nouveau modèle",20040101000000
619,"45.1725861450374,5.73438413753764",6,"nouveau modèle",20040101000000
620,"45.1720571336555,5.73179096265145",3,"nouveau modèle",20020101000000
621,"45.1719721713986,5.73179116667502",3,"nouveau modèle",20020101000000
622,"45.1757058918873,5.73771944594484",2,"nouveau modèle",20010101000000
623,"45.1861976038517,5.74220090682663",10,"nouveau modèle",20080101000000
624,"45.1858390003437,5.74248743862153",10,"nouveau modèle",20080101000000
625,"45.185704915643,5.74213254623851",10,"nouveau modèle",20080101000000
626,"45.1848673083484,5.74119598112369",6,"nouveau modèle",20080101000000
627,"45.1847153055109,5.7409492245527",3,"nouveau modèle",20080101000000
628,"45.1846645882623,5.74086866577524",6,"nouveau modèle",20080101000000
629,"45.1849793546001,5.74137870899969",7,"nouveau modèle",20080101000000
630,"45.1874216843075,5.74488722845717",3,"nouveau modèle",20080101000000
631,"45.1891325995265,5.71915848442296",3,"nouveau modèle",20080101000000
632,"45.1828187870721,5.73502366199819",3,"nouveau modèle",20070101000000
633,"45.1823593998906,5.73566561874906",3,"nouveau modèle",20060101000000
634,"45.1863415914842,5.71829488937772",2,"nouveau modèle",19900101000000
635,"45.1876861950274,5.71908509605219",3,"nouveau modèle",20010101000000
636,"45.1863793341365,5.71669161154008",2,"nouveau modèle",20150728000000
637,"45.1882915279192,5.72324102097483",4,"nouveau modèle",20080101000000
638,"45.1857683860167,5.74672993257552",2,"nouveau modèle",20010101000000
639,"45.1854366963064,5.74430851115503",4,"nouveau modèle",20040101000000
640,"45.1851139089626,5.74449371714254",2,"nouveau modèle",20040101000000
641,"45.1854263219082,5.74296020214835",2,"nouveau modèle",20060101000000
642,"45.1848761045343,5.74333564377219",3,"nouveau modèle",19980101000000
643,"45.1844718331494,5.74339664804776",2,"nouveau modèle",19980101000000
644,"45.1826557282471,5.74417825443808",2,"nouveau modèle",19980101000000
645,"45.1826095656343,5.74442936331479",2,"nouveau modèle",20030101000000
646,"45.1829923227158,5.73926516198703",7,"nouveau modèle",19990101000000
647,"45.1806374321789,5.73792737835073",2,"nouveau modèle",20080101000000
