geo_point_2d,nom,insee,adresse,type_usagers,gratuit,nb_places,nb_pr,hauteur_max,num_siret,tarif_pmr,tarif_1h,tarif_3h,tarif_4h,tarif_24h,abo_resident,abo_non_resident,type_ouvrage,type,commune,epci,nb_pmr,nb_velo,nb_covoit,url,nb_voitures_electriques,nb_2r_el,nb_autopartage,nb_2_rm,info
"45.20445,5.701214",PRESQU'ILE,38185,"50 Avenue des Martyrs, 38000, Grenoble",tous,,475,0,190,84935057400018,normal_payant,2.1,7.4,10.0,29.0,0.0,0.0,ouvrage,parking,Grenoble,LaMetro,10.0,,0.0,https://www.effia.com/parking/parking-grenoble-presquile-park-grenoble-alpes-metropole,10.0,0.0,0.0,19.0,
"45.1935,5.711838",GARES - PALAIS DE JUSTICE,38185,"34 avenue Doyen Louis Weil, 38000, Grenoble",tous,,396,0,200,84935057400018,normal_payant,2.1,7.4,10.0,29.0,0.0,0.0,ouvrage,parking,Grenoble,LaMetro,8.0,,0.0,https://www.effia.com/parking/parking-grenoble-gares-palais-de-justice-park-grenoble-alpes-metropole,4.0,0.0,0.0,10.0,
"45.188401,5.728358",VAUCANSON,38185,"2 place Vaucanson, 38000, Grenoble",tous,,120,0,255,84935057400018,normal_payant,2.2,7.7,10.5,33.0,0.0,0.0,enclos_en_surface,parking,Grenoble,LaMetro,3.0,,0.0,https://www.effia.com/parking/parking-grenoble-vaucanson-park-grenoble-alpes-metropole,0.0,0.0,0.0,0.0,
"45.194345,5.713614",GARE ROUTIERE,38185,"44 Bis rue Emile Gueymard, 38000, Grenoble",tous,,200,0,255,84935057400018,normal_payant,2.2,7.7,10.5,33.0,0.0,0.0,enclos_en_surface,parking,Grenoble,LaMetro,4.0,,0.0,https://www.effia.com/parking/parking-grenoble-gare-routiere-park-grenoble-alpes-metropole,3.0,0.0,0.0,0.0,
"45.199166,5.717306",GRENOBLE - ESPLANADE,38185,"72 Route de Lyon,  38000, Grenoble",tous,,95,95,190,30150323100039,normal_payant,,,,,,,enclos_en_surface,parking,Grenoble,LaMetro,,,,,,,,,
"45.302478,5.907698",LUMBIN LONG PRÉ,38214,"Chemin des Longs Prés, 38660, Lumbin",tous,1.0,50,50,330,20001816600245,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Lumbin,LeGresivaudan,,10.0,,,,,,,
"45.207501,5.767896",MEYLAN - LA REVIREE,38229,"Avenue de Verdun, 38240, Meylan",tous,1.0,36,36,330,30150323100039,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Meylan,LaMetro,1.0,0.0,,,,,,,
"45.224076,5.820248",MONTBONNOT PRÉ DE L'EAU,38249,"Chemin du Moulin, 38330, Montbonnot-Saint-Martin",tous,1.0,100,100,330,20001816600245,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Montbonnot-Saint-Martin,LeGresivaudan,,,,,,,,,
"45.432776,6.008159",GARE DE PONTCHARRA,38314,"Rue Jean Pellerin, 38530, Pontcharra",tous,1.0,110,110,330,20001816600245,gratuit,0.0,0.0,0.0,0.0,0.0,0.0,enclos_en_surface,parking,Pontcharra,LeGresivaudan,,,,,,,,,
"45.127208,5.698806",PONT-DE-CLAIX,38317,"32 cours Saint-André, 38800, Le-Pont-de-Claix",tous,,116,116,190,30150323100039,normal_payant,,,,,,,enclos_en_surface,parking,Le Pont-de-Claix,LaMetro,,,,,,,,,
