id,geo_point_2d,date_debut,date_fin,vp_critair,vp_horaires,vul_critair,vul_horaires,pl_critair,pl_horaires,autobus_autocars_critair,autobus_autocars_horaires,deux_rm_critair,deux_rm_horaires,url_arrete,url_site,geo_shape
TRONROUT0000000008039355,"45.18138454,5.77982011",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77982011,45.18138454],[5.77969935,45.18128754],[5.77954978,45.18120026],[5.77939846,45.18112925],[5.77913482,45.18105383],[5.77882618,45.18099574],[5.77841495,45.18092399],[5.77815366,45.18087013],[5.77779566,45.18076732],[5.77758171,45.18066633],[5.77741423,45.1805777],[5.77704305,45.1803635],[5.77677601,45.18021968]]}"
TRONROUT0000000008039367,"45.1818708,5.77954112",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77954112,45.1818708],[5.77964702,45.18184835],[5.77973242,45.18182369]]}"
TRONROUT0000000008039361,"45.18138454,5.77982011",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77982011,45.18138454],[5.77988812,45.18147114],[5.77991861,45.18154606],[5.77991838,45.18161815],[5.7798862,45.18168832]]}"
TRONROUT0000000008039356,"45.18182369,5.77973242",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77973242,45.18182369],[5.77979849,45.18176889],[5.77986165,45.18170695],[5.7798862,45.18168832]]}"
TRONROUT0000000008036078,"45.18312409,5.77917802",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77917802,45.18312409],[5.77901816,45.18311186],[5.77896072,45.18310968],[5.77866862,45.18310254],[5.77841074,45.18309184],[5.77822777,45.18305045],[5.77809485,45.18299069],[5.77799742,45.18292734],[5.77790669,45.18284491],[5.77784002,45.1827853],[5.77780401,45.18275286],[5.77746256,45.18244512]]}"
TRONROUT0000000008039349,"45.18359878,5.78015971",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.78015971,45.18359878],[5.78006034,45.18336881],[5.77983,45.18304118],[5.77962216,45.18275625],[5.77952814,45.18263335],[5.77945264,45.18252441],[5.77940871,45.18238405],[5.7794463,45.18224347],[5.77958521,45.18211657],[5.77975527,45.18202675],[5.77996436,45.18195306],[5.78017788,45.18189188],[5.78026456,45.1818672],[5.780519,45.18178338],[5.78076502,45.18170968],[5.78111328,45.18159108]]}"
TRONROUT0000000008039357,"45.18179627,5.77862653",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77862653,45.18179627],[5.77862883,45.181689],[5.77861703,45.1816055],[5.77862871,45.18148178],[5.77870833,45.18134105],[5.77881846,45.18125001],[5.77901236,45.18117851],[5.77920027,45.18116572],[5.77934485,45.18117834],[5.77948686,45.18124147],[5.77958572,45.18133361],[5.77963163,45.18143698],[5.77961203,45.18152937],[5.7795692,45.18161603],[5.77947477,45.18168956],[5.77933513,45.1817507],[5.77908383,45.18182093],[5.77894364,45.1818965]]}"
TRONROUT0000000031548500,"45.18237728,5.77772672",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77772672,45.18237728],[5.77776906,45.18251137],[5.77780222,45.18258893],[5.77785219,45.18267147],[5.77799928,45.18281107],[5.77809508,45.18286725],[5.77824295,45.18292033]]}"
TRONROUT0000000031548501,"45.18292033,5.77824295",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77824295,45.18292033],[5.7782599,45.18292801],[5.77841324,45.18296294],[5.77857243,45.18296168],[5.77872556,45.18291552],[5.77875643,45.18289583],[5.7788875,45.18281599],[5.77897027,45.18271302],[5.77899803,45.18260511],[5.77897975,45.18249384],[5.77895027,45.18241349],[5.77890221,45.18231828],[5.77888384,45.18220522]]}"
TRONROUT0000000070197217,"45.18209762,5.77763254",2019-05-02,,,,,,,,,,,,https://www.mobilites-m.fr/pdf/arrete_ZFE_VUL_PL.pdf,https://www.grenoblealpesmetropole.fr/831-la-zfe.htm,"{""type"":""LineString"",""coordinates"":[[5.77763254,45.18209762],[5.77777864,45.18203812],[5.77785365,45.181984],[5.77791119,45.18191139],[5.77794261,45.18182591],[5.77794059,45.18173406],[5.77790666,45.18164121],[5.77785997,45.18154777],[5.77780551,45.18145182],[5.77774737,45.18135866],[5.77768273,45.18126297],[5.77760397,45.18116492],[5.77750839,45.18106188],[5.77739991,45.18095557],[5.77704801,45.18053996]]}"
