id,nom_comm,code_insee,nom_rue,nom_axe,date_deb,date_fin,p_7h_8h,p_8h_9h,p_9h_10h,p_10h_11h,p_11h_12h,p_12h_13h,p_13h_14h,p_14h_15h,p_15h_16h,p_16h_17h,p_17h_18h,p_18h_19h,p_tot_am,p_tot_pm,p_tot_jour,moy_am,moy_pm,freq_max,h_freq_max,freq_min,h_freq_min,num_poste,num_ope,fid,geo_point_2d
12,Grenoble,38185,Boulevard Gambetta,Boulevard Gambetta,20190926,20190926,107.0,201.0,185.0,216.0,267.0,311.0,284.0,266.0,341.0,341.0,423.0,398.0,976.0,2364.0,3340.0,195.0,338.0,423.0,17h00 - 18h00,107.0,07h00 - 08h00,1005,160,19,"45.18965905566134, 5.722283464274066"
13,Grenoble,38185,Carrefour Victor Hugo / Edouard Rey / Molière,Carrefour Victor Hugo / Edouard Rey / Molière,20190926,20190926,642.0,668.0,646.0,955.0,1267.0,1869.0,1624.0,1495.0,1743.0,1843.0,2119.0,2242.0,4178.0,12935.0,17113.0,836.0,1848.0,2242.0,18h00 - 19h00,642.0,07h00 - 08h00,1015,160,20,"45.189644627349224, 5.724743808235713"
14,Grenoble,38185,Boulevard Agutte Sembat,Boulevard Agutte Sembat,20190926,20190926,198.0,352.0,284.0,418.0,353.0,476.0,492.0,637.0,584.0,636.0,673.0,624.0,1605.0,4122.0,5727.0,321.0,589.0,673.0,17h00 - 18h00,198.0,07h00 - 08h00,1004,160,21,"45.18863591925983, 5.725862991997275"
15,Grenoble,38185,Place de l'Etoile,Place de l'Etoile,20190926,20190926,216.0,360.0,420.0,586.0,671.0,804.0,646.0,664.0,785.0,832.0,885.0,836.0,2253.0,5452.0,7705.0,451.0,779.0,885.0,17h00 - 18h00,216.0,07h00 - 08h00,1016,160,22,"45.187866751032416, 5.728626069752119"
16,Grenoble,38185,Rue de Bonne,Rue de Bonne,20190926,20190926,74.0,101.0,178.0,285.0,387.0,431.0,492.0,494.0,611.0,710.0,765.0,765.0,1025.0,4268.0,5293.0,205.0,610.0,765.0,17h00 - 18h00,74.0,07h00 - 08h00,1003,160,23,"45.18967189362694, 5.726798851113477"
17,Grenoble,38185,Rue de la Poste,Rue de la Poste,20190926,20190926,38.0,56.0,91.0,120.0,135.0,183.0,171.0,155.0,237.0,236.0,185.0,185.0,440.0,1352.0,1792.0,88.0,193.0,237.0,15h00 - 16h00,38.0,07h00 - 08h00,1002,160,24,"45.1896019076964, 5.727289557269652"
18,Grenoble,38185,Rue Général Mangin,Rue Général Mangin,20190926,20190926,13.0,31.0,57.0,57.0,36.0,23.0,16.0,119.0,65.0,109.0,57.0,42.0,194.0,431.0,625.0,39.0,62.0,119.0,14h00 - 15h00,13.0,07h00 - 08h00,1018,160,25,"45.177317600060434, 5.71797508757716"
19,Grenoble,38185,Avenue Jean Perrot,Avenue Jean Perrot,20190926,20190926,33.0,52.0,60.0,50.0,64.0,57.0,51.0,57.0,61.0,89.0,114.0,116.0,259.0,545.0,804.0,52.0,78.0,116.0,18h00 - 19h00,33.0,07h00 - 08h00,1019,160,26,"45.172334730661994, 5.739084795591048"
20,Grenoble,38185,Boulevard maréchal Lyautey,Boulevard maréchal Lyautey,20190926,20190926,234.0,475.0,292.0,362.0,466.0,634.0,553.0,577.0,565.0,671.0,904.0,644.0,1829.0,4548.0,6377.0,366.0,650.0,904.0,17h00 - 18h00,234.0,07h00 - 08h00,1021,160,27,"45.18546923981406, 5.731211633996705"
21,Grenoble,38185,Rue Lesdiguieres,Rue Lesdiguieres,20190926,20190926,160.0,226.0,193.0,196.0,187.0,304.0,204.0,219.0,249.0,235.0,361.0,385.0,962.0,1957.0,2919.0,192.0,280.0,385.0,18h00 - 19h00,160.0,07h00 - 08h00,1020,160,28,"45.185582094487316, 5.723160355130575"
