fid,geo_point_2d,nom,epci,legende_sdic,geo_shape
11,"45.18266557556679,5.733972494642429",Chronovélo 4,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.733972494642429,45.18266557556679],[5.734316,45.182024],[5.734709,45.181256],[5.737348,45.175877],[5.738648284623805,45.173218256588115],[5.738648284623805,45.173218256588115],[5.739397,45.171686],[5.747067,45.156156],[5.750927166895996,45.1483233179626],[5.751386451975606,45.14744475969031]]]}"
12,"45.18798300264486,5.719358739054251",Chronovélo 1,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.719358739054251,45.18798300264486],[5.718844306077932,45.18805281931527],[5.715713507632108,45.18828222264297],[5.715013195929511,45.18835269157586],[5.714759032017747,45.188464568984514],[5.71466812863924,45.188581985735695],[5.714618774650735,45.188706076030236],[5.714567070010802,45.18883607594362],[5.713038562901342,45.190013890193036],[5.712098847190588,45.190734033909514],[5.711449442765434,45.19085681155506],[5.71137348081458,45.19087117279207],[5.70785586220601,45.19112374755264],[5.707050832328986,45.1911945257219],[5.706317144641381,45.19136711303406],[5.705556556856897,45.19174497931023],[5.704425231443193,45.19223274178759],[5.704126388276904,45.19231506983237],[5.703611881137483,45.19240954426898],[5.702408430358881,45.19241934036442],[5.700478167349915,45.192419871612145],[5.694772739859654,45.19242125177429],[5.69259013992045,45.19237096328965],[5.686495980651417,45.192097372367535],[5.686268626854552,45.19195188226308],[5.685381575255367,45.192068810372604],[5.685005981186786,45.19218610674246],[5.684240155582503,45.19245681690718],[5.682190642450752,45.193181257369915],[5.679728635904421,45.19405142884226],[5.677672603885084,45.19477805177801],[5.674311636843514,45.195965732827545]]]}"
13,"45.195965732827545,5.674311636843514",Chronovélo 1,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.674311636843514,45.195965732827545],[5.673633135012041,45.196260543585964],[5.672978303307919,45.19667599059173],[5.672656969070605,45.19699858963739],[5.670574627267871,45.198880191042456]]]}"
14,"45.20113700203121,5.74179199978242",Chronovélo 6,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.74179199978242,45.20113700203121],[5.74279012161232,45.20191608062943],[5.744163837574352,45.20248785875954],[5.745050613958205,45.2028137426843],[5.746247129380915,45.203983218777644],[5.746846210265804,45.20458472922682],[5.749704386663821,45.20605025163398],[5.750395475363931,45.20625761765301],[5.751217681238852,45.206226679882974],[5.752432209222398,45.20611912599575],[5.762337148397259,45.210158285408596],[5.764457862341947,45.21142847299012],[5.765719097099649,45.211957924823515],[5.767157263788753,45.21221434484256],[5.771320345816537,45.212472063448686],[5.772949517530365,45.212746187589616],[5.776923684007527,45.21368014297486],[5.777793371533817,45.2137903682979]]]}"
15,"45.16476802961914,5.74281421461288",Chronovélo 5,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.74281421461288,45.16476802961914],[5.742996,45.164747],[5.744980420440521,45.16520212254164],[5.747839543439107,45.16572529732039],[5.748131127846123,45.16554955261518],[5.748238760174607,45.165480448939675]]]}"
16,"45.200823684407126,5.838470319443053",Chronovélo 8,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.838470319443053,45.200823684407126],[5.837792381980337,45.20019402605083],[5.836417,45.199159],[5.835478,45.198705],[5.819623633439356,45.19303897895693],[5.812615,45.190173],[5.807347,45.187633],[5.805903260865616,45.186827251729675],[5.800855868362915,45.18493328899772],[5.797526908418418,45.18343671287262],[5.796947475368656,45.18299913206021],[5.795891567532648,45.18246592339827]]]}"
17,"45.15918974045628,5.728930951358593",Chronovélo 7,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.728930951358593,45.15918974045628],[5.728793197391413,45.1574909243313],[5.725113680214734,45.15735630655123],[5.723389845692128,45.155717676541045],[5.723491029558027,45.15318459138156],[5.72346873881201,45.153162748278575]]]}"
18,"45.18141096925442,5.787249323226506",Chronovélo 8,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.787249323226506,45.18141096925442],[5.7881228111987,45.18150142722288],[5.79167302370417,45.18176348644206],[5.792066681764325,45.181920207555514],[5.792321830507017,45.182002421737614],[5.792441079040186,45.18202927228241]]]}"
19,"45.21203544966523,5.797700911690836",Chronovélo 1,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.797700911690836,45.21203544966523],[5.798109899934692,45.212129868810585],[5.798606402345083,45.21248168656578]]]}"
20,"45.183837983543924,5.754238223619105",Chronovélo 5,GAM,Niveau 1 - Axe Chronovélo,"{""type"":""MultiLineString"",""coordinates"":[[[5.754238223619105,45.183837983543924],[5.754438315937753,45.181781230644816],[5.755038592893703,45.18000648699724],[5.755955682687511,45.17792608792137],[5.756078900771706,45.177645544951105]]]}"
21,"45.20684750421861,5.835306335754893",Chronovélo 8,GAM,Niveau 1 - Axe Chronovélo variante à étudier,"{""type"":""MultiLineString"",""coordinates"":[[[5.835306335754893,45.20684750421861],[5.835610809078863,45.2065364544451],[5.835801104906342,45.20608060256632],[5.836895,45.206745],[5.840362089117247,45.20887986309778],[5.843831818462128,45.21101300259328],[5.847771356878771,45.21332718928758],[5.848675973652074,45.213881338415966]]]}"
