fid,geo_point_2d,nom,epci,legende_sdic,geo_shape
154,"45.189145,5.767972",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.767972,45.189145],[5.766180245357567,45.18578291423374]]]}"
155,"45.18784058859916,5.757869485654998",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.757869485654998,45.18784058859916],[5.755033,45.189145]]]}"
156,"45.145242,5.716624",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.716624,45.145242],[5.715122,45.145423999999885],[5.712934,45.147784],[5.712075,45.148814]]]}"
157,"45.0763662121986,5.772860192884992",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.772860192884992,45.0763662121986],[5.772961,45.076491],[5.773305,45.0772559999999],[5.773616,45.077468],[5.774045,45.077998],[5.774635,45.078415],[5.775279,45.078938],[5.775622,45.078915],[5.776008,45.079127],[5.776523,45.079596999999886],[5.776792,45.07971],[5.777553,45.07944499999989],[5.778294,45.079385],[5.779098,45.07959699999989],[5.780311,45.079438],[5.782049,45.07987],[5.783315,45.081854],[5.785632,45.083642],[5.786662,45.084127],[5.788894,45.08652099999989]]]}"
158,"45.164611,5.721216",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.721216,45.164611],[5.724004921640289,45.16460894704399],[5.728685788138131,45.16469092130272]]]}"
159,"45.161856002305434,5.696636808646936",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.696636808646936,45.161856002305434],[5.69646673827704,45.160500887455655],[5.696347,45.15996599999989],[5.696331843810428,45.15983506302714],[5.696626,45.159572],[5.698235,45.1593],[5.698416576476234,45.15928164459387],[5.698892873075599,45.16019917355911]]]}"
160,"45.11054263253289,5.680762167352821",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.680762167352821,45.11054263253289],[5.680615009752882,45.11062701480778],[5.680325293228003,45.11060429651526],[5.679847031028204,45.110669205898446],[5.679717,45.110725],[5.679456143653369,45.110919106334514],[5.679309,45.110922],[5.679267597978447,45.11092884269301],[5.679083650978519,45.11089151997642],[5.678646776853702,45.11086231087693],[5.678363958341321,45.11075683344866],[5.678244392791369,45.11073411520785],[5.678147820616409,45.11076332437298],[5.677636,45.111134],[5.678108,45.111860999999884],[5.674975,45.112891],[5.672593,45.113799],[5.672057,45.11293599999989],[5.671842,45.111755],[5.671885,45.109953],[5.671971,45.109468],[5.671992,45.10862],[5.67225,45.107651]]]}"
161,"45.19279615598907,5.724736458590899",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.724736458590899,45.19279615598907],[5.725014,45.19176099999989],[5.725132,45.191118],[5.725197,45.19071],[5.724778,45.190408],[5.724194023111654,45.19010304173595],[5.72324005102511,45.18956402538752],[5.722598587035885,45.18920467831938]]]}"
162,"45.19176099999989,5.725014",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.725014,45.19176099999989],[5.724424292235986,45.191679490361004],[5.722761,45.191428]]]}"
163,"45.184457,5.752051",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.752051,45.184457],[5.752437,45.182217999999885],[5.752566,45.181129],[5.75248,45.180524],[5.752459,45.179919],[5.751836,45.178997]]]}"
164,"45.18403779797716,5.779822415593465",,GAM,"Niveau 2 - Itinéraire du
réseau principal","{""type"":""MultiLineString"",""coordinates"":[[[5.779822415593465,45.18403779797716],[5.776532370458197,45.18734046643147],[5.775535074882649,45.18855878725253],[5.773938,45.189493],[5.772833,45.190052],[5.772253,45.190393],[5.771599,45.190521],[5.771202,45.190619],[5.771137,45.191096],[5.771109430637468,45.1917363226745]]]}"
165,"45.15841927719147,5.745949482441494",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.745949482441494,45.15841927719147],[5.745603978603343,45.158262189086386],[5.744948670454487,45.15756632993967],[5.744815144709931,45.15737350828883],[5.744333105305422,45.15692334770863],[5.743968318729036,45.15674879469009],[5.744176768201254,45.15617919691041],[5.743994374913063,45.15519616799547],[5.743017268012029,45.15464492940758],[5.742053189203011,45.154617367338226],[5.739345700789838,45.15344251466389]]]}"
166,"45.164740951420846,5.730471151437635",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.730471151437635,45.164740951420846],[5.730561,45.163953],[5.730733,45.163014],[5.730733,45.162356],[5.730733,45.161713],[5.730743,45.161282]]]}"
167,"45.1967059999999,5.677185",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.677185,45.1967059999999],[5.6760025279699,45.198226065135394],[5.675597,45.200758],[5.674481,45.201333]]]}"
168,"45.202041467779814,5.686830061677201",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.686830061677201,45.202041467779814],[5.687399,45.201242],[5.687463,45.200834],[5.687528,45.200501],[5.687592,45.200191]]]}"
169,"45.22119146008618,5.666742462993732",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.666742462993732,45.22119146008618],[5.667057,45.220652],[5.665555,45.218778],[5.665169,45.218565999999896],[5.665383,45.217175999999895],[5.666628,45.213911],[5.666521,45.213608]]]}"
170,"45.254325772112296,5.629085721833372",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.629085721833372,45.254325772112296],[5.624464,45.253894],[5.623863,45.254362],[5.623026,45.255842],[5.625172,45.256869]]]}"
171,"45.264029,5.625225",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.625225,45.264029],[5.624131,45.263621],[5.622844,45.263168],[5.622135,45.2635],[5.620086,45.263002]]]}"
172,"45.203328,5.67019",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.67019,45.203328],[5.671359,45.2032379999999],[5.671542,45.203049]]]}"
173,"45.12495952244452,5.679949263704311",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.679949263704311,45.12495952244452],[5.680654098490363,45.12476901933304],[5.681012795140213,45.12475604066976],[5.681210538165132,45.124788487322455],[5.681385287815063,45.12485662523299],[5.681454267940033,45.12479497665077],[5.681670405664942,45.12477875332856],[5.681809,45.12479899999988],[5.682410792339634,45.12504805987952],[5.682590140664561,45.125070772422056],[5.682944238639416,45.12501885802582],[5.683459290239201,45.12497343289034],[5.683523671689172,45.12496369892806],[5.683663931276614,45.124926385390445]]]}"
174,"45.124926385390445,5.683663931276614",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.683663931276614,45.124926385390445],[5.683858,45.125064],[5.684352,45.125261],[5.684441107351291,45.12528654112531],[5.685036635763549,45.124942608670686],[5.685811,45.12458],[5.686326,45.12455],[5.687685472562441,45.12418010951359],[5.688177530787243,45.124118460200286],[5.688333885737173,45.12414766251493],[5.688416661887143,45.123985427244584],[5.689423771711721,45.12320344677008],[5.689781,45.12300499999988],[5.690049191511465,45.122885459943184],[5.69084476228613,45.122697262822946],[5.691258643035957,45.122535023427915],[5.691670224448286,45.12249284110964],[5.691766796623249,45.12248635151944]]]}"
175,"45.213000797879324,5.661560208834778",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.661560208834778,45.213000797879324],[5.660706,45.212807],[5.658882,45.212626],[5.657103413049553,45.212167197877385],[5.656478,45.21218699999986]]]}"
176,"45.213000797879324,5.661560208834778",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.661560208834778,45.213000797879324],[5.661757,45.213253],[5.662251,45.213434],[5.662409188510269,45.21403435819434],[5.662692232365261,45.2141790698325],[5.663495,45.213895],[5.665791,45.213283],[5.666521,45.213608]]]}"
177,"45.214077,5.672357",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.672357,45.214077],[5.667958,45.213427],[5.667787,45.2132],[5.667143,45.213306],[5.666778,45.213351],[5.666521,45.213608]]]}"
178,"45.213283,5.665791",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.665791,45.213283],[5.663989,45.212512],[5.66298,45.211961],[5.663002,45.211499],[5.662841,45.211159],[5.662615,45.210856999999876],[5.662433,45.209837],[5.662340544751879,45.20972553530176],[5.662137058263435,45.209713708397956]]]}"
179,"45.208091,5.660834",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.660834,45.208091],[5.660609,45.208325],[5.660845,45.208529],[5.661103,45.209353],[5.661424,45.209655],[5.662137058263435,45.209713708397956]]]}"
180,"45.21178931770891,5.79598239046958",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.79598239046958,45.21178931770891],[5.796168,45.211567],[5.797005,45.21125],[5.797021,45.211174],[5.796694,45.211095],[5.796887,45.211001],[5.79715,45.210887],[5.797209,45.210676],[5.797327,45.210441],[5.797729,45.210350999999896],[5.797589,45.209874],[5.79730246489996,45.2090704699844]]]}"
181,"45.221649,5.798593",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.798593,45.221649],[5.800486663359256,45.220859057233575]]]}"
182,"45.131887105134574,5.700019746700692",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.700019746700692,45.131887105134574],[5.697731,45.132301],[5.697527,45.13224],[5.696280205735781,45.13240001219129]]]}"
183,"45.11939867817024,5.697959977352035",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.697959977352035,45.11939867817024],[5.697838,45.11953],[5.697967,45.120325],[5.697355,45.120394],[5.697237,45.12042399999989],[5.696872,45.120992],[5.697227,45.1214459999999],[5.697452,45.12200599999989],[5.697817,45.122725],[5.697659596898058,45.12287176347078]]]}"
184,"45.156122999999894,5.681241",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.681241,45.156122999999894],[5.681219,45.155623],[5.680659559416931,45.15491626019803],[5.680236481317109,45.15440387174537],[5.679868587317262,45.153703383874905],[5.679631,45.153081],[5.67946,45.152476]]]}"
185,"45.156471,5.690103",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.690103,45.156471],[5.689802,45.157499],[5.689802,45.159406],[5.690017,45.160949],[5.689631,45.16234099999989],[5.689631,45.1634],[5.688903626421943,45.165787730999696]]]}"
186,"45.252172,5.656843",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.656843,45.252172],[5.659761,45.250087],[5.661092,45.248576]]]}"
187,"45.246066219070805,5.668095730291807",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.668095730291807,45.246066219070805],[5.667186,45.24618899999988],[5.66592,45.246884],[5.665019,45.247035],[5.663559,45.2477],[5.662637,45.248063],[5.662301299604247,45.24852144577201]]]}"
188,"45.175646507283155,5.766725124872552",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.766725124872552,45.175646507283155],[5.763466,45.172847999999895],[5.761492,45.170904],[5.759979,45.169437],[5.757361288097924,45.16680113015061],[5.757018,45.166532]]]}"
189,"45.196964204906585,5.748527075840538",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.748527075840538,45.196964204906585],[5.748345537482304,45.19733954707661],[5.748693,45.198052],[5.748543,45.198346],[5.748446,45.198649],[5.748585,45.198822999999884],[5.748575,45.198951],[5.748392,45.19921599999989],[5.748317,45.199427],[5.748308507859732,45.19942972346235]]]}"
190,"45.161197505968595,5.742998504870036",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.742998504870036,45.161197505968595],[5.741884266246444,45.162382198334655],[5.740721,45.16264399999987],[5.741901,45.163688],[5.740979,45.164353],[5.740893,45.164611],[5.741193,45.165155],[5.741215,45.165443],[5.739791414902183,45.16594423907261],[5.736651673711876,45.16671034121343]]]}"
191,"45.166532,5.757018",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.757018,45.166532],[5.756621,45.166381],[5.75586,45.1658359999999],[5.755119,45.16483],[5.754958,45.16483],[5.754476,45.16517],[5.753607,45.164474],[5.751879,45.163173]]]}"
192,"45.08652099999989,5.788894",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.788894,45.08652099999989],[5.79134,45.088339],[5.793743,45.090944],[5.79473,45.092399],[5.798593,45.095549],[5.80061,45.096549],[5.802712,45.097549],[5.803313,45.098882],[5.802798,45.101033],[5.802798,45.102032],[5.803657,45.1028799999999],[5.804343,45.10394099999989],[5.805674,45.105364],[5.807004,45.107515],[5.807476,45.108666],[5.806961,45.109271],[5.806918,45.110877],[5.806682,45.110998],[5.807412,45.111679],[5.808034,45.113088],[5.809021,45.11386],[5.808721,45.114602],[5.808764,45.11498],[5.809622,45.115737],[5.810566,45.116737],[5.811059,45.117025],[5.810587,45.1177209999999]]]}"
193,"45.167873260359386,5.767979370287595",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.767979370287595,45.167873260359386],[5.76632,45.168132],[5.764866,45.168294],[5.762799410473249,45.168554297205006]]]}"
194,"45.157023,5.738876",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.738876,45.157023],[5.733984,45.1569659999999],[5.733946,45.157344],[5.733777821175124,45.1573486824325]]]}"
195,"45.19452163270654,5.775540120610573",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.775540120610573,45.19452163270654],[5.776781,45.194521],[5.777103,45.194339],[5.777189,45.193916],[5.777264,45.193682],[5.777414,45.193394],[5.7775,45.193054],[5.777564,45.192895],[5.778004,45.192706],[5.77809817489837,45.19223719121326]]]}"
196,"45.14052716303805,5.719611278691581",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.719611278691581,45.14052716303805],[5.719371,45.139907],[5.718598,45.138976],[5.715723,45.13631199999988],[5.714344093658741,45.13483177550687]]]}"
197,"45.15413505486757,5.712114977255873",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.712114977255873,45.15413505486757],[5.712762,45.153959],[5.714779,45.152975],[5.715809,45.15239999999989],[5.715744,45.152007],[5.715265301359527,45.15076892628979]]]}"
198,"45.205566,5.682421",,GAM,"Niveau 2 - Itinéraire du
réseau principal","{""type"":""MultiLineString"",""coordinates"":[[[5.682421,45.205566],[5.68437567785583,45.20473978677114],[5.685341847995039,45.203263001387256],[5.686074267294114,45.20253831944523],[5.686533977279701,45.20206342816606],[5.686830061677201,45.202041467779814]]]}"
199,"45.233951,5.672636",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.672636,45.233951],[5.671563,45.2315029999999],[5.672507,45.22972],[5.673017550808674,45.228946474637375],[5.673537,45.228722]]]}"
200,"45.22665850248024,5.676850689062507",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.676850689062507,45.22665850248024],[5.674825,45.228571],[5.673537,45.228722]]]}"
201,"45.24373585984532,5.679104234038241",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.679104234038241,45.24373585984532],[5.679532732587083,45.24335950774437],[5.681579801411862,45.241262482176],[5.682370537018893,45.24050790032741],[5.682893,45.240267],[5.683751,45.240206],[5.687184,45.238424],[5.689551849606515,45.23771848194288]]]}"
202,"45.23734547046302,5.680520799533487",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.680520799533487,45.23734547046302],[5.682256088444194,45.23872763353587],[5.682034,45.239511],[5.682893,45.240267]]]}"
203,"45.23771848194288,5.689551849606515",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.689551849606515,45.23771848194288],[5.690103,45.239421],[5.690771655563914,45.23971438179608],[5.691027967523421,45.23986177366051]]]}"
204,"45.21982060349344,5.661073588743127",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.661073588743127,45.21982060349344],[5.66092,45.220168],[5.660877,45.221861],[5.660362,45.222103],[5.660276,45.223221],[5.659847,45.224521],[5.658388,45.225398],[5.657787,45.225549],[5.657873,45.22706],[5.657873,45.227755],[5.656285,45.228449999999896],[5.655513,45.229357],[5.654998,45.229871],[5.65414,45.230475],[5.652766,45.231654],[5.65268,45.232651],[5.653925,45.23313499999988],[5.655255,45.234374],[5.656157,45.234586],[5.656236601298598,45.23520301592076]]]}"
205,"45.229090061137974,5.650029966703425",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.650029966703425,45.229090061137974],[5.65414,45.230475]]]}"
206,"45.23537193374606,5.655798671331438",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.655798671331438,45.23537193374606],[5.651071,45.234163],[5.644578536581683,45.23251597627734]]]}"
207,"45.187605999999896,5.700461",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.700461,45.187605999999896],[5.698029381770396,45.18709745349693]]]}"
208,"45.1850826232845,5.68907845014641",,GAM,"Niveau 2 - Itinéraire du
réseau principal","{""type"":""MultiLineString"",""coordinates"":[[[5.68907845014641,45.1850826232845],[5.691176316608464,45.18555266060125],[5.690931414959662,45.18607608319339],[5.690017,45.187693],[5.68888804303219,45.1886708230307],[5.688249124069165,45.18944510343298],[5.686994661227128,45.19153176413024]]]}"
209,"45.115157025965765,5.73042406404852",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.73042406404852,45.115157025965765],[5.734708931131705,45.11700075400729],[5.737891428189578,45.11925942460012],[5.741079263560261,45.11999778667595],[5.74276,45.120235],[5.747416,45.118039],[5.750715773535758,45.11573919497003],[5.755377,45.115268],[5.756493,45.116116],[5.757997908914967,45.116052590072535],[5.758971293760978,45.11598390088228],[5.759583,45.115843]]]}"
210,"45.115843,5.759583",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.759583,45.115843],[5.759932511296412,45.11608693463664],[5.759847340122388,45.116739477427544],[5.760248861371365,45.11843090229011],[5.759583,45.120961],[5.760098,45.124595],[5.763445,45.128592],[5.767393,45.133194],[5.770569,45.134223],[5.771513,45.135495]]]}"
211,"45.20749126053714,5.755796602618758",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.755796602618758,45.20749126053714],[5.755694098238643,45.207687442407575],[5.752115,45.210041],[5.750914,45.211038]]]}"
212,"45.21978198709671,5.787944690313308",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.787944690313308,45.21978198709671],[5.784152,45.219065],[5.780880016542003,45.217991829712155],[5.780254596742262,45.21785361689776],[5.779616913809195,45.21791408504542],[5.778465,45.218022],[5.77587665814408,45.21694658696657],[5.775361606544292,45.21661832494973],[5.774049451278174,45.21626414538524],[5.772945769278629,45.215944518030916],[5.769401723746766,45.215287980532864],[5.765419,45.214152],[5.762889999949471,45.21320601544356],[5.760486425817133,45.212791341095325],[5.759701585284128,45.21267039384092],[5.756063,45.211794],[5.750970234354418,45.209387441551755],[5.750332551421345,45.20917145120493],[5.748787396621991,45.20858395331199],[5.747646925222461,45.20772861464899],[5.745519271590018,45.206972622799796],[5.745077798790196,45.20705470240103],[5.744421721157138,45.20709358217086],[5.744151932223915,45.20707198230203],[5.743017,45.206715],[5.738915574292753,45.20545628886196],[5.738547680292907,45.20519276231706]]]}"
213,"45.20418622873138,5.834293590045565",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.834293590045565,45.20418622873138],[5.833083022484531,45.203437112326185],[5.831938,45.202482],[5.831752461151139,45.202323168413656]]]}"
214,"45.18563726012424,5.788945996682862",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.788945996682862,45.18563726012424],[5.788890812582888,45.18349154422501],[5.789019575482834,45.18294699922696],[5.789001180782839,45.182272793441456],[5.789135319340045,45.181576177051475]]]}"
215,"45.196312087152776,5.762218173865451",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.762218173865451,45.196312087152776],[5.761901083774291,45.19715486948188],[5.759969,45.199881],[5.758299379782478,45.2010846560868]]]}"
216,"45.24033424497813,5.67758660993537",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.67758660993537,45.24033424497813],[5.676799,45.239663],[5.675576,45.23933],[5.674095,45.238544],[5.672894,45.239783]]]}"
217,"45.242382,5.659118",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.659118,45.242382],[5.657616,45.244467],[5.656114,45.246582],[5.656714,45.247126],[5.658731,45.248063],[5.661092,45.248576],[5.662422,45.248516],[5.666357637466151,45.248612693998496]]]}"
218,"45.239783,5.672894",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.672894,45.239783],[5.671563,45.235855],[5.671559048365509,45.23436006582467],[5.67161887375683,45.23423734047411],[5.671585,45.234102]]]}"
219,"45.2225057307159,5.682564652974912",,GAM,"Niveau 2 - Itinéraire du
réseau principal","{""type"":""MultiLineString"",""coordinates"":[[[5.682564652974912,45.2225057307159],[5.684476393366949,45.2228028028726],[5.687336731458231,45.223474360292336],[5.68830661621332,45.2237406653484]]]}"
220,"45.24492447256427,5.67679293775219",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.67679293775219,45.24492447256427],[5.675812,45.246023],[5.673773,45.246567],[5.671499,45.24838],[5.670705,45.249468],[5.669417,45.250555],[5.668838,45.2506759999999],[5.667207,45.251673],[5.666564,45.251401],[5.665134773870868,45.250404155485036]]]}"
221,"45.216571,5.691841",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.691841,45.216571],[5.693235,45.215845],[5.693377962771724,45.21442503632414],[5.696068,45.213185],[5.699716,45.212248]]]}"
222,"45.143245184120204,5.728890370934296",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.728890370934296,45.143245184120204],[5.728777028813635,45.14321287248307],[5.726449135699457,45.142630380342986],[5.726226297081361,45.14259874449892],[5.725740302745428,45.142427421329735],[5.724632089748686,45.141954335487334],[5.723589723415785,45.14142669315496],[5.722645462149513,45.14070009572154],[5.720468755983747,45.13905656736682],[5.720094730417234,45.13900899084047],[5.718708996351148,45.138515922684455],[5.718236865718008,45.13826938700752],[5.71762319700528,45.13807277506355]]]}"
223,"45.14596908091659,5.704815869871043",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.704815869871043,45.14596908091659],[5.701283577251473,45.146570023756695]]]}"
224,"45.1873,5.758123",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.758123,45.1873],[5.764625,45.186045],[5.767586,45.185546],[5.768666506531628,45.18515311380976]]]}"
225,"45.186533919956695,5.75785409068175",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.75785409068175,45.186533919956695],[5.757351,45.185485],[5.75748,45.18358],[5.75726564134021,45.18302161785336]]]}"
226,"45.18282643687279,5.757976189802284",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.757976189802284,45.18282643687279],[5.755978,45.179133]]]}"
227,"45.191712220815134,5.763819300526684",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.763819300526684,45.191712220815134],[5.763892304390141,45.19071218157471],[5.761079999243759,45.18672929990518]]]}"
228,"45.186559184878995,5.761961337463979",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.761961337463979,45.186559184878995],[5.761085,45.185546],[5.759561,45.183897],[5.758762370077051,45.18261047384953]]]}"
229,"45.18882131579452,5.777975700881345",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.777975700881345,45.18882131579452],[5.776877,45.187844],[5.77503969929443,45.187058340476455],[5.774107701161482,45.18683362233171],[5.772728098662056,45.18658729565395],[5.771740916429132,45.186215642859516],[5.771262654229332,45.18604710183911],[5.770956075896125,45.18596499193044],[5.770560589846289,45.185932580091816],[5.769846262329918,45.185900168234674],[5.769662315329997,45.185932580091816],[5.769490631463398,45.18598227823687],[5.769441246878298,45.18601443388632]]]}"
230,"45.16819301245931,5.768181499175277",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.768181499175277,45.16819301245931],[5.768595,45.167062],[5.768337,45.164308],[5.767951,45.162402],[5.766149,45.159951],[5.765119,45.158226],[5.762887,45.157046],[5.760827,45.157469],[5.759129570363177,45.15863514335071]]]}"
231,"45.187509624325465,5.752975780527403",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.752975780527403,45.187509624325465],[5.753326023554246,45.18760907916894],[5.754091535721136,45.18805282775248],[5.754246668930982,45.1881685942298],[5.755033,45.189145],[5.756063,45.19056599999989],[5.756557,45.191459],[5.756518914181057,45.19178939353103]]]}"
232,"45.150508,5.711517",,GAM,"Niveau 3 - Itinéraire de desserte
locale","{""type"":""MultiLineString"",""coordinates"":[[[5.711517,45.150508],[5.711689,45.149298],[5.711989,45.148874]]]}"
233,"45.14215976868122,5.721486596049989",,GAM,"Niveau 2 - Itinéraire du
réseau principal","{""type"":""MultiLineString"",""coordinates"":[[[5.721486596049989,45.14215976868122],[5.720867307816917,45.142505759755615],[5.720309335250479,45.14287769781873],[5.718675272734492,45.14402809553812],[5.718230734151343,45.14426163209013],[5.717758603518204,45.144421647323455],[5.717016683951846,45.144687617595864],[5.716746895018626,45.14474383879535]]]}"
