sensorid,lat,long
183157,45.186,5.72
253609,45.188,5.712
188446,45.188,5.712
522601,45.18374248629,5.70482254028
525991,45.254,5.844
361837,45.274,5.88
368140,45.274,5.88
74698,45.19,5.722
121567,45.186,5.79
61684,45.222,5.688
502414,45.07949,5.7286
231595,45.168,5.736
525526,45.184,5.704
70084,45.196,5.696
530863,45.2134881,5.7541771
189697,45.167069,5.727303
80761,45.194,5.684
66682,45.084,5.732
220114,45.09201585,5.67541295245
495421,45.27189498268899,5.679027058969204
