# Validation data for sensors in Grenoble, France
# https://aqicn.org/station/validation/@530863/
# Generated on 2025-11-27T08:24:22.259Z
# Hourly PM2.5 AQI data
time,522601,368140,183157,121567,80761,525991,495421,361837,66682,61684,189697,70084,525526,220114,502414,530863,74698,231595,188446,253609
2025-11-20T21:00:00.000Z,2.13,0,1.4,0.72,3.3,4.4,7.08,2,1.9,3.84,1.42,2.9,1.3,,1,0.85,11.67,0.5,3
2025-11-22T08:00:00.000Z,5.73,0,6.65,0.75,12.95,2.62,2.75,0.7,6.79,7.29,5.63,8.7,2.65,,6.59,4.51,1.33,1,15
2025-11-23T11:00:00.000Z,5.5,0.1,5.15,1.14,9.41,4.4,1.5,2,5.7,7.22,5.38,8.54,3.7,11.97,25,4.92,9,33.5,17.84
2025-11-23T12:00:00.000Z,4.56,0.1,4.98,1,7.55,4.75,2.25,1.9,3.92,6.43,4.05,7.35,4.9,11.07,26.17,4.82,8.67,47.5,18.33
2025-11-26T06:00:00.000Z,2.2,0,1.65,0.57,5.07,2.22,,1.4,2.17,2.56,1.65,2.9,0.5,6.6,4.83,1.17,0,0,2.25
2025-11-26T16:00:00.000Z,,0,1.6,0.6,5.78,4.39,1.42,2.7,,3.82,1.79,3.41,0.89,5.47,1,1.55,1,0,3.5
2025-11-15T12:00:00.000Z,0.8,0.1,0.77,0.2,1.37,0.4,,0.52,,0.97,1.17,1.09,,1.9,4,0.94,2.67,0,0
2025-11-15T19:00:00.000Z,2.63,0.1,2.6,0.55,2.59,1.58,0.04,1.7,,9.37,2.03,3.41,,,1,3.28,83.67,0,5.25
2025-11-22T01:00:00.000Z,4.97,,6.4,0.75,,2.64,1.92,,5.88,5.42,4.78,,1.41,,,1.98,26.25,17.67,11.25
2025-11-22T18:00:00.000Z,7.7,0,10.75,1.75,15.52,4.82,2,5.63,13.38,10.47,6.93,12,5.98,,30,5.15,25,44,21.17
2025-11-17T02:00:00.000Z,5.09,,13.02,1,,1.83,0,,11.9,3.46,6.37,,3.2,7.72,,7.54,13.33,9,9.75
2025-11-24T12:00:00.000Z,0.4,0,0.5,0.2,0.93,0.3,,0.46,,0.7,0.5,0.75,3.97,,0.5,0.59,0.33,0,1
2025-11-24T15:00:00.000Z,1.4,0,0.8,0.32,2.8,0.8,,0.4,,1.05,1.11,2.42,1.23,,5.75,0.77,14.13,14,1
2025-11-24T22:00:00.000Z,0.9,0,0.7,0.2,,1.01,0,0.4,,2.53,0.81,1.05,0.9,4.82,1,0.4,0,57.25,0
2025-11-26T12:00:00.000Z,1.83,0,1.52,0.4,2.71,3.49,0.08,1.8,1.44,3.07,1.62,3.8,1.2,,3,1.3,3,0,3.68
2025-11-18T04:00:00.000Z,2.27,0,1.5,0.4,,0.93,0.08,0.3,1.8,2.4,1.65,,0.9,6.69,,1.23,1,0,4
2025-11-18T10:00:00.000Z,3.95,0,4.03,0.7,8.07,2.84,1.5,0.45,5.43,5.59,3.4,5.7,2.08,8.99,3,3.07,5,1.75,9.25
2025-11-18T20:00:00.000Z,6.67,0.09,6.69,1.13,9.93,10.03,1.29,1.65,,11.66,5.11,10.49,2.83,20.88,29.59,4.4,19.13,2.33,14.25
2025-11-19T08:00:00.000Z,5.73,0,6.02,1.25,9.24,4.57,0.33,2,9.93,5.97,4.78,8.77,2.95,13.43,19.17,4.03,11.33,1.45,14.75
2025-11-21T22:00:00.000Z,,0.1,4.48,1.02,6.72,2.85,4.17,0.9,4.07,5.05,3.6,5.42,,,1.67,1.2,3,32,8.29
2025-11-20T12:00:00.000Z,1.04,0,1.1,0.3,1.75,0.85,0.08,0.6,,1.61,1.08,1.37,0.7,4.62,1,0.67,3,0,1
