# Sensor Grenoble, France (Citizen Science project sensor.community/13222)
# https://aqicn.org/station/@60685/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2020-02-19T00:00:00.000Z,1.42,17.55,4.12,3.16,5.36,1.669,411
2020-02-20T00:00:00.000Z,0.7,11.83,5.05,3.42,5.84,1.996,449
2020-02-21T00:00:00.000Z,0.5,6.52,2.25,0.98,4.43,1.886,393
2020-02-22T00:00:00.000Z,1.88,16.84,4.21,3.09,6.1,2.027,412
2020-02-23T00:00:00.000Z,1.58,14.43,5.42,2.6,7.08,2.535,399
2020-02-24T00:00:00.000Z,1.05,25.31,4.38,2.54,5.39,4.001,464
2020-02-25T00:00:00.000Z,0.3,9.76,3.48,1.7,4.2,1.795,426
2020-02-26T00:00:00.000Z,0,1.96,0.4,0.25,0.69,0.357,355
2020-02-27T00:00:00.000Z,0.14,5.82,1.31,0.56,2.62,1.503,486
2020-02-28T00:00:00.000Z,0.3,9.15,1.52,0.91,3.02,1.85,489
2020-02-29T00:00:00.000Z,0.15,5.97,1.88,1.06,2.68,1.328,487
2020-03-01T00:00:00.000Z,0.22,3.28,1.27,0.77,1.83,0.694,498
2020-03-02T00:00:00.000Z,0,5.25,1.37,0.49,1.85,0.97,433
2020-03-03T00:00:00.000Z,0.2,2.79,0.72,0.53,0.94,0.407,374
2020-03-04T00:00:00.000Z,0.6,6.58,1.9,1.37,2.98,1.12,500
2020-03-05T00:00:00.000Z,0,8.34,3.22,1.65,4.11,1.669,500
2020-03-06T00:00:00.000Z,0.1,1.88,0.56,0.38,0.81,0.338,500
2020-03-07T00:00:00.000Z,0.53,3.25,1.44,1.19,1.86,0.501,501
2020-03-08T00:00:00.000Z,0.9,5.42,2.42,1.55,3.36,1.131,502
2020-03-09T00:00:00.000Z,0.04,7.11,0.89,0.45,2.66,1.393,490
2020-03-10T00:00:00.000Z,0.8,8.16,3.55,2.33,4.55,1.8,501
2020-03-11T00:00:00.000Z,0.82,14.15,5.07,2.35,10.73,4.066,498
2020-03-12T00:00:00.000Z,0.81,16.52,2.82,1.91,4.12,1.83,455
2020-03-13T00:00:00.000Z,0.3,2.78,0.98,0.76,1.21,0.439,475
2020-03-14T00:00:00.000Z,0.97,3.76,1.8,1.44,2.18,0.544,477
2020-03-15T00:00:00.000Z,1.32,2.99,1.95,1.72,2.21,0.308,241
