type,geo_point_2d,city,name,visible,epci
clusters,"45.12803,5.83504",Vaulnaveys-le-Haut,LES DAVIDS,1.0,LaMetro
clusters,"45.1631,5.81265",Venon,Le Chenil,,LaMetro
clusters,"45.13626,5.82448",Vaulnaveys-le-Haut,La Tuilerie,,LaMetro
clusters,"45.12419,5.83096",Vaulnaveys-le-Haut,BELMONT 3,1.0,LaMetro
clusters,"45.13095,5.8303",Vaulnaveys-le-Haut,LES BLANCHERES 2,1.0,LaMetro
clusters,"45.20675,5.66277",Sassenage,Place de la Libération,,LaMetro
clusters,"45.21227,5.66173",Sassenage,Château de Sassenage,,LaMetro
clusters,"45.21491,5.66119",Sassenage,La Rollandière,,LaMetro
clusters,"45.17487,5.65849",Seyssinet-Pariset,Pariset,,LaMetro
clusters,"45.21304,5.64477",Sassenage,LA DENT DU LOUP,,LaMetro
clusters,"45.218,5.64818",Sassenage,RIVOIRE DE LA DAME,,LaMetro
clusters,"45.19971,5.632",Sassenage,USINE,1.0,LaMetro
clusters,"45.20427,5.66511",Sassenage,PRE FLEURY,,LaMetro
clusters,"45.20527,5.7004",Grenoble,Oxford,,LaMetro
clusters,"45.18756,5.72705",Grenoble,Docteur Martin,,LaMetro
clusters,"45.18996,5.72444",Grenoble,Victor Hugo,,LaMetro
clusters,"45.18836,5.73111",Grenoble,Verdun - Préfecture,,LaMetro
clusters,"45.19151,5.71519",Grenoble,Gares,,LaMetro
clusters,"45.18544,5.73123",Grenoble,Chavant,,LaMetro
clusters,"45.17335,5.71412",Grenoble,Alliés,,LaMetro
clusters,"45.20243,5.70421",Grenoble,Marie-Louise Paris - CEA,,LaMetro
clusters,"45.17876,5.71596",Grenoble,VALLIER-LIBERATION (SUD),1.0,LaMetro
clusters,"45.19314,5.71417",Grenoble,GARE ROUTIERE,,LaMetro
clusters,"45.19053,5.72501",Grenoble,TROIS DAUPHINS,1.0,LaMetro
clusters,"45.19241,5.69651",Fontaine,SAVEUIL,,LaMetro
clusters,"45.1891,5.69428",Fontaine,Louis Maisonnat,,LaMetro
clusters,"45.18529,5.69461",Seyssinet-Pariset,Aristide Bergès,,LaMetro
clusters,"45.1882,5.71909",Grenoble,Alsace-Lorraine,,LaMetro
clusters,"45.19714,5.67241",Fontaine,La Poya,,LaMetro
clusters,"45.19531,5.71084",Grenoble,Cité Internationale,,LaMetro
clusters,"45.19955,5.66987",Sassenage,Les Pies,,LaMetro
clusters,"45.19126,5.72165",Grenoble,Docteur Mazet,,LaMetro
clusters,"45.17642,5.68792",Seyssinet-Pariset,Belvédère,,LaMetro
clusters,"45.21407,5.77905",Meylan,Lycée du Grésivaudan - Bachais,,LaMetro
clusters,"45.21376,5.75005",Corenc,LE RONDEAU,1.0,LaMetro
clusters,"45.18198,5.7809",Gières,COLLEGE LE CHAMANDIER,1.0,LaMetro
clusters,"45.18456,5.78709",Gières,INSTITUTION DON BOSCO,1.0,LaMetro
clusters,"45.21255,5.75916",Corenc,Montfleury,,LaMetro
clusters,"45.20718,5.78478",Meylan,TAILLEFER,1.0,LaMetro
clusters,"45.18883,5.73662",Grenoble,Bir Hakeim,,LaMetro
clusters,"45.18115,5.78832",Gières,Edelweiss,,LaMetro
clusters,"45.20494,5.77864",Meylan,COLLEGE DES BUCLOS,1.0,LaMetro
clusters,"45.21002,5.7667",Meylan,Lionel Terray,,LaMetro
clusters,"45.17345,5.78993",Gières,La Combe,,LaMetro
clusters,"45.16896,5.79329",Gières,Les Terrats,,LaMetro
clusters,"45.17395,5.76085",Saint-Martin-d'Hères,Pablo Neruda,,LaMetro
clusters,"45.20148,5.7423",La Tronche,La Tronche Hôpital,,LaMetro
clusters,"45.20562,5.74886",La Tronche,Musée Hébert,,LaMetro
clusters,"45.19168,5.77035",Saint-Martin-d'Hères,Bibliothèques Universitaires,1.0,LaMetro
clusters,"45.18595,5.76061",Saint-Martin-d'Hères,Clinique Belledonne,,LaMetro
clusters,"45.18442,5.76756",Saint-Martin-d'Hères,Champ Roman,,LaMetro
clusters,"45.19196,5.77504",Gières,Universités - Biologie,,LaMetro
clusters,"45.21244,5.7706",Meylan,Chaumetière,,LaMetro
clusters,"45.20759,5.78909",Meylan,INOVALLEE,1.0,LaMetro
clusters,"45.18554,5.78549",Gières,GARE UNIVERSITES (TRAMWAY),1.0,LaMetro
clusters,"45.18676,5.75675",Saint-Martin-d'Hères,Neyrpic - Belledonne,,LaMetro
clusters,"45.1849,5.78536",Gières,GARE UNIVERSITES (SNCF),1.0,LaMetro
clusters,"45.21163,5.77421",Meylan,Faculté de Pharmacie,,LaMetro
clusters,"45.20509,5.76455",Meylan,Aiguinards-Hexagone,,LaMetro
clusters,"45.21212,5.76685",Meylan,Revirée - Sayettes,,LaMetro
clusters,"45.19708,5.75322",La Tronche,Sablons,,LaMetro
clusters,"45.20738,5.76784",Meylan,La Revirée,,LaMetro
clusters,"45.20299,5.76149",Meylan,Plaine Fleurie,,LaMetro
clusters,"45.1875,5.73746",Grenoble,Grenoble Hôtel de Ville,,LaMetro
clusters,"45.2146,5.78098",Meylan,PARKING LYCEE GRESIVAUDAN,1.0,LaMetro
clusters,"45.19743,5.74655",La Tronche,Hôpital Michallon,,LaMetro
clusters,"45.19706,5.82826",Domène,COLLEGE LA MOULINIERE,1.0,LaMetro
clusters,"45.19807,5.83381",Domène,L'Oratoire,,LaMetro
clusters,"45.19216,5.81728",Murianette,Le Bourg,,LaMetro
clusters,"45.19418,5.82288",Murianette,Les Rivets,,LaMetro
clusters,"45.20234,5.83811",Domène,Domène Mairie,,LaMetro
clusters,"45.20756,5.84938",Domène,Les Arnauds,,LaMetro
clusters,"45.20769,5.83363",Domène,Les Vernes,,LaMetro
clusters,"45.20671,5.82732",Domène,Chenevières,,LaMetro
clusters,"45.20473,5.83595",Domène,Le Prieuré,,LaMetro
clusters,"45.19321,5.82013",Murianette,La Briot,,LaMetro
clusters,"45.19643,5.82917",Domène,Les Mortes,,LaMetro
clusters,"45.19025,5.81292",Murianette,La Perrière,1.0,LaMetro
clusters,"45.25837,5.65945",Fontanil-Cornillon,CROIX DE LA ROCHETTE,1.0,LaMetro
clusters,"45.25022,5.66511",Fontanil-Cornillon,LEP FRANCOISE DOLTO,1.0,LaMetro
clusters,"45.24991,5.63159",Noyarey,Le Ruisset,,LaMetro
clusters,"45.23857,5.63471",Noyarey,Saint-Jean,,LaMetro
clusters,"45.24287,5.63213",Noyarey,Bascule,,LaMetro
clusters,"45.24008,5.66663",Saint-Égrève,Cap38,,LaMetro
clusters,"45.2682,5.61939",Veurey-Voroize,Les Echalières,,LaMetro
clusters,"45.23645,5.63807",Noyarey,LES CHAULNES,1.0,LaMetro
clusters,"45.2365,5.66202",Saint-Égrève,SAN MARINO BARRAGE,1.0,LaMetro
clusters,"45.25958,5.62606",Veurey-Voroize,Iles Cordées,,LaMetro
clusters,"45.2233,5.79345",Meylan,La Détourbe,,LaMetro
clusters,"45.22106,5.79003",Meylan,Les Jaillières,,LaMetro
clusters,"45.21863,5.78664",Meylan,Saint-Mury,,LaMetro
clusters,"45.26981,5.61823",Veurey-Voroize,La Rive,,LaMetro
clusters,"45.27155,5.61931",Veurey-Voroize,VEUREY PONT,1.0,LaMetro
clusters,"45.20918,5.79484",Meylan,NORBERT SEGARD CNET,1.0,LaMetro
clusters,"45.20882,5.79762",Meylan,Busserolles,,LaMetro
clusters,"45.18922,5.77812",Gières,Vignate,,LaMetro
clusters,"45.25602,5.62811",Veurey-Voroize,La Cuche,,LaMetro
clusters,"45.19882,5.7503",La Tronche,Grand Sablon,,LaMetro
clusters,"45.08056,5.77466",Vizille,Chantefeuille,,LaMetro
clusters,"45.07733,5.76856",Vizille,Les Forges,,LaMetro
clusters,"45.1607,5.70986",Grenoble,MARIELLE FRANCO - RONDEAU,,LaMetro
clusters,"45.11064,5.70844",Le Pont-de-Claix,PONT DES VANNES,1.0,LaMetro
clusters,"45.19159,5.77587",Gières,Universités - Biologie,,LaMetro
clusters,"45.18935,5.77446",Saint-Martin-d'Hères,Condillac - Universités,,LaMetro
clusters,"45.20779,5.69715",Grenoble,Martyrs - Résistance,,LaMetro
clusters,"45.18806,5.73813",Grenoble,HOTEL DE VILLE-CHANRION,1.0,LaMetro
clusters,"45.1994,5.71313",Grenoble,DURAND SAVOYAT,1.0,LaMetro
clusters,"45.11453,5.70529",Le Pont-de-Claix,BEAU SITE,1.0,LaMetro
clusters,"45.18122,5.69449",Seyssinet-Pariset,Bouchayer - Hôtel de Ville,,LaMetro
clusters,"45.25489,5.66164",Fontanil-Cornillon,Palluel,,LaMetro
clusters,"45.17102,5.67324",Seyssinet-Pariset,LES VOUILLANTS,1.0,LaMetro
clusters,"45.06815,5.77009",Vizille,LYCEE (2),1.0,LaMetro
clusters,"45.17727,5.69353",Seyssinet-Pariset,Fauconnière,,LaMetro
clusters,"45.18027,5.71553",Grenoble,VALLIER-LIBERATION (OUEST),1.0,LaMetro
clusters,"45.17649,5.68144",Seyssinet-Pariset,ROUTE DE SAINT NIZIER,1.0,LaMetro
