nom_rue,nom_commune,date_installation,num_materiel_evoserv,ent_vmoy,ent_v30,ent_v50,ent_v85,sor_vmoy,sor_v30,sor_v50,sor_v85,fid,geo_point_2d
"12 rue Henri Wallon","Saint Martin d'Heres","mars 2017",4170,46,22,25,34,42,21,24,34,30,"45.175316245041394, 5.763399153658973"
"46 avenue Jacques Prevert","Saint Martin d'Heres","mars 2017",4174,57,24,29,40,57,25,32,43,31,"45.16502668080544, 5.765392443659724"
"55 rue Henri Wallon","Saint Martin d'Heres","mars 2017",4173,46,23,28,36,59,23,28,38,32,"45.17319974354889, 5.759415759352547"
"23 avenue de la Poste",Seyssins,"mars 2017",4178,49,23,28,38,61,24,28,38,33,"45.15849344530073, 5.68200222682125"
"135 avenue de Grenoble",Seyssins,"mars 2017",4176,52,26,31,41,52,29,33,42,34,"45.1627987447873, 5.685529857669336"
"12 avenue d'Eybens",Poisat,"aout 2016",3934,50,26,30,39,64,29,33,42,35,"45.15782230679727, 5.75782787290386"
"35 avenue Pierre Mendes France",Poisat,"decembre 2016",4084,63,26,32,42,68,30,35,45,36,"45.15839389122729, 5.765145455700872"
"2 rue Hippolyte Lhenry",Poisat,"aout 2016",3933,70,30,36,47,59,35,39,50,37,"45.16004537800914, 5.756808622186053"
"RD 113 ",Saint-Barthélemy-de-Séchilienne,"janvier 2017",4101,57,36,39,46,58,38,42,49,38,"45.044410160178806, 5.826937301830709"
"22 RD 529",Notre-Dame-de-Commiers,"mars 2017",4097,,,,,,,,,39,"45.01001691464372, 5.700222237272016"
"avenue des Maquis du Gresivaudan",Saint-Egrève,,3731,,,,,,,,,40,"45.23552630477494, 5.6921264513220455"
"Avenue de la Monta",Saint-Egrève,,3730,,,,,,,,,41,"45.2336592277722, 5.686551048283146"
"RD1091 ",Séchilienne,"decembre 2016",4053,105,42,47,60,79,47,53,67,42,"45.053347746725365, 5.827314758017104"
"121 L'Ile ",Séchilienne,"decembre 2016",4065,65,38,43,54,56,37,43,53,43,"45.05257147660253, 5.836093172504586"
"14 avenue du 8 mai 1945",Echirolles,"mars 2017",4211,60,28,32,42,78,23,28,40,44,"45.14415048959401, 5.715993304136724"
"57 avenue du Vercors","Seyssinet Pariset","mars 2017",4190,52,20,23,32,54,23,27,38,45,"45.179234637303054, 5.687367551518373"
"21 avenue de Grugliasco",Echirolles,"mars 2017",4210,53,25,29,37,50,23,29,40,46,"45.14961898852236, 5.719107270286227"
"43 avenue Aristide Berges","Seyssinet Pariset","mars 2017",4200,67,29,33,42,59,24,29,41,47,"45.18445692674094, 5.692959403097668"
"28 rue Aime Bouchayer","Seyssinet Pariset","mars 2017",4201,59,28,33,42,55,24,29,41,48,"45.182748583075835, 5.694176523567626"
"10 rue de stalingrad",Echirolles,"mars 2017",4202,56,25,28,35,52,26,29,36,49,"45.13607482986421, 5.715474797032899"
"270 route de Bon Repos",Jarrie,"avril 2017",4062,61,36,40,49,59,38,42,51,50,"45.109927842465744, 5.758402172177387"
"23 Avenue Danielle Casanova",Echirolles,"mars 2017",4197,51,25,29,38,53,24,29,38,51,"45.14530303681837, 5.700903157047397"
"344 route de la Combe",Jarrie,"avril 2017",4192,68,40,43,52,64,40,44,53,52,"45.10623733616127, 5.755920607508215"
"6 boulevard de la Resistance",Vif,"avril 2017",4245,62,30,34,43,67,30,35,43,53,"45.0521600235429, 5.675266479001297"
"3 boulevard Faidherbe",Vif,"avril 2017",4247,,,,,,,,,54,"45.05683027924116, 5.667480168582541"
"89 avenue de la Gare",Vif,"avril 2017",4248,83,42,46,58,78,46,51,62,55,"45.048931772158355, 5.684903646457771"
"9 boulevard de la Resistance",Vif,"avril 2017",4246,80,29,34,44,51,28,34,45,56,"45.0515027370831, 5.673748529479378"
,Gières,,4306,,,,,,,,,57,"45.181649161846394, 5.790253628181559"
"route du Gua ",Proveysieux,"decembre 2016",4102,,,,,,,,,58,"45.265001841638274, 5.700015516142765"
"765 route de la Commanderie",Notre-Dame-de-Mésage,"avril 2017",4193,62,26,32,42,50,26,33,42,59,"45.072602865812556, 5.758705482673981"
D105A,Quaix-en-Chartreuse,"mai 2017",4064,,,,,,,,,60,"45.25290527418286, 5.716324412313325"
D105A,Quaix-en-Chartreuse,"mai 2017",4266,47,29,33,39,43,29,32,38,61,"45.25292522766903, 5.720620423311332"
"326 route du Connex",Saint-Pierre-de-Mésage,"novembre 2016",4044,47,27,33,43,55,28,33,44,62,"45.0548657876708, 5.764165869827403"
"13 rue de la Contamine",Saint-Egrève,"mars 2017",4208,43,23,27,36,54,28,32,41,63,"45.23215853752078, 5.677160377348067"
"39 rue du Muret",Saint-Egrève,"mars 2017",4205,53,29,33,42,55,28,32,40,64,"45.22728943279775, 5.689812304539808"
"18 rue de l'Isere",Saint-Egrève,"mars 2017",4206,64,30,35,44,52,33,37,46,65,"45.22822649417111, 5.6807671158673205"
"Le Sappey",Saint-Barthélemy-de-Séchilienne,"juillet 2017",4292,,,,,,,,,66,"45.03748276263431, 5.810207199107335"
"309 rue Jean Jaurès",Vizille,"novembre 2016",4045,52,26,31,43,75,26,31,42,67,"45.076037278972564, 5.769135997104587"
,Herbeys,,4048,,,,,,,,,68,"45.14133544223993, 5.791649400442571"
,Herbeys,,4002,,,,,,,,,69,"45.14040173564196, 5.790705536530771"
,Vif,,4203,,,,,,,,,70,"45.038650862292016, 5.671708035224726"
"Av du maquis de l'oisans","Le Pont-de-Claix",,4387,,,,,,,,,71,"45.11982213065401, 5.7010978348004375"
"Av des 120 toises","Le Pont-de-Claix",,4375,,,,,,,,,72,"45.13857196129812, 5.698326104442782"
"Rue mozart","Le Pont-de-Claix",,4388,,,,,,,,,73,"45.128964055441486, 5.695374854327587"
"Av Victor Hugo","Le Pont-de-Claix",,4389,,,,,,,,,74,"45.134855593484936, 5.697113154068591"
"Cote Corenc","Le Sappey-en-Chartreuse",,4426,,,,,,,,,75,"45.25957685317591, 5.777295225911744"
"Rue Lesdigueres",Claix,,4198,69,42,45,54,84,43,47,58,76,"45.115662459349714, 5.68833942667339"
"15 avenue de Valence",Sassenage,"decembre 2016",4090,64,28,34,46,77,29,35,47,77,"45.2089163547367, 5.662262791085971"
,,,5420,,,,,,,,,78,"45.21278786771325, 5.6594924598089715"
"33 avenue Jean Jaurès",Eybens,"novembre 2016",4009,41,27,31,39,45,22,26,35,79,"45.16092701809161, 5.744561370254147"
"141 avenue Jean Jaures",Eybens,"septembre 2016",4004,43,24,28,37,39,23,27,36,80,"45.14873041544522, 5.750813246642649"
"20 rue General Ferrie",Grenoble,"septembre 2016",3997,43,22,25,34,56,23,28,39,81,"45.17891906525153, 5.723804503694807"
"4 rue Marcelin Berthelot",Grenoble,"septembre 2016",3919,44,22,26,36,31,18,20,24,82,"45.18002885577466, 5.731643066122791"
"70 avenue de la Bruyere",Grenoble,"aout 2016",3931,41,24,28,36,43,25,28,37,83,"45.16659432620854, 5.729603576428523"
"35 rue Aime Pupin",Grenoble,"avril 2017",4195,76,27,33,44,58,26,32,42,84,"45.161505828533826, 5.724160861730003"
"88 rue Lucien Andrieux",Grenoble,"septembre 2016",3917,42,21,25,33,,,,,85,"45.16140080180496, 5.720753710806775"
"27 cours berriat",Grenoble,"aout 2016",4047,60,28,34,45,75,27,33,44,86,"45.18791642957546, 5.719998036581414"
"16 rue Bizanet",Grenoble,"aout 2016",3936,57,22,25,34,51,23,28,39,87,"45.19766744252229, 5.740490346339618"
"28 bis rue Lachmann",Grenoble,"aout 2016",3932,48,19,21,29,43,19,22,30,88,"45.19896853962271, 5.736548881454784"
"34 chemin de la Blanchisserie",Grenoble,"juillet 2016",3916,54,22,26,37,44,22,26,37,89,"45.184261805484425, 5.746768993470807"
"22 rue Leon Jouhaux",Grenoble,"juillet 2017",3920,54,29,34,44,55,33,37,46,90,"45.18169839025447, 5.740939775727754"
"6-8 place Bir Hakeim",Grenoble,"aout 2016",4042,44,23,27,35,46,20,23,34,91,"45.18885164208138, 5.736291335419369"
"10 avenue du Vercors",Fontaine,"decembre 2016",4092,47,23,27,36,43,23,30,40,92,"45.19246758681553, 5.6994376182227615"
"13 mail Marcel Cachin",Fontaine,"mars 2017",4212,70,26,31,41,69,23,28,39,93,"45.19518359156808, 5.69212870025847"
"7 Chemin de la cote fauchee",Champagnier,"decembre 2016",4087,54,27,30,39,75,30,34,43,94,"45.115612747482345, 5.72108813999313"
"71 avenue Rhin et Danube",Grenoble,"janvier 2017",4098,51,24,28,38,50,28,32,42,95,"45.171078895042996, 5.705053945570181"
"31 avenue Rhin et Danube",Grenoble,"janvier 2017",4096,65,30,35,45,62,32,36,46,96,"45.17616071506441, 5.705254598668631"
"6 boulevard Roger Salengro",Grenoble,"janvier 2017",4107,59,20,23,31,61,20,24,35,97,"45.175024769261334, 5.712921796080568"
"Rue jean jaures",Gières,,4272,,,,,,,,,98,"45.18231189309823, 5.7938306076266555"
"365 avenue Joliot Curie",Varces-Allières-et-Risset,"juillet 2017",4312,,,,,,,,,99,"45.09575906402134, 5.683749640493357"
"25 avenue de Provence",Varces-Allières-et-Risset,"juillet 2017",4308,,,,,,,,,100,"45.08256454996562, 5.680794048555104"
,Vizille,,3935,,,,,,,,,101,"45.052972619480556, 5.7782785117657856"
"23 rue Louise Micel",Grenoble,"janvier 2017",4106,40,20,23,32,57,20,24,36,102,"45.169125035006594, 5.7089497894236265"
"Cassoulet ",Miribel-Lanchâtre,"decembre 2016",4088,,,,,,,,,103,"44.98169383747448, 5.623112276832478"
"RD8 ",Miribel-Lanchâtre,"decembre 2016",4079,61,32,37,45,,,,,104,"44.97509890512623, 5.620934861071101"
"12 Rue du Rafour",Fontanil-Cornillon,"juillet 2016",3921,45,25,28,36,49,25,29,37,105,"45.25049235811203, 5.6672494784065135"
"Rue Mozart/Chorier ",Grenoble,,3732,47,21,24,33,,,,,106,"45.1861706924939, 5.709400193731378"
"44 rue Pierre Semard",Grenoble,"avril 2017",4191,62,24,30,41,55,22,27,36,107,"45.19245891525151, 5.709933141899489"
"45 rue Pierre Semard",Grenoble,"mars 2017",4172,44,22,26,35,64,22,27,39,108,"45.19205900944753, 5.71025956296509"
"2 rue des Eaux Claires",Grenoble,"mars 2017",4175,46,23,27,38,55,23,28,38,109,"45.17939266748367, 5.711428473974614"
"14 rue Joseph Bertoin",Fontaine,"mars 2017",4209,48,25,30,39,73,24,28,38,110,"45.19853195073554, 5.681721406367462"
"132 boulevard Joliot Curie",Fontaine,"mars 2017",4207,71,24,28,37,45,22,26,34,111,"45.198801201854174, 5.692325696274761"
"22 quai de France",Grenoble,"mars 2017",4196,57,23,27,37,49,24,28,37,112,"45.1934729468614, 5.721486157897072"
"42 route de Saint Georges de Commiers",Champ-sur-Drac,"avril 2017",4169,,,,,,,,,113,"45.080344999351375, 5.727090358638019"
"5 avenue Lénine",Fontaine,"mars 2017",4194,62,30,35,46,61,32,36,45,114,"45.187850018495766, 5.689825287959752"
"88 rue Charles Michel",Fontaine,"mars 2017",4199,55,24,28,36,51,21,25,34,115,"45.193460114819445, 5.6860843342005225"
"Grande Rue",Fontanil-Cornillon,?,3918,49,26,30,37,54,28,32,42,116,"45.25672158415802, 5.662556496255744"
"244 route du Mollard",Jarrie,"juillet 2017",4288,,,,,,,,,117,"45.115458876091765, 5.754300384860227"
"Rue de la République",Bresson,"juillet 2017",4290,,,,,,,,,118,"45.137666772773954, 5.747819540225933"
"3 rue de Bretagne",Échirolles,"juillet 2017",4321,,,,,,,,,119,"45.15862299167374, 5.718255810030469"
"22 rue de la Paix",Échirolles,"juillet 2017",4310,,,,,,,,,120,"45.14111188761685, 5.708090164987368"
"89 rue Jean Jaurès",Domène,"juillet 2017",4311,,,,,,,,,121,"45.19852777686484, 5.834958499886991"
"3 rue de la République",Domène,"juillet 2017",4314,,,,,,,,,122,"45.201663129454715, 5.840127420648298"
"25 rue Pierre Sémard",Échirolles,"juillet 2017",4307,,,,,,,,,123,"45.14903277112386, 5.709840779308721"
"21 rue Ampère",Grenoble,"juin 2017",4274,56,26,30,41,62,26,31,41,124,"45.18440443115662, 5.705620763332498"
"16 rue Ampère",Grenoble,"juin 2017",4273,67,24,28,39,67,24,29,40,125,"45.18319431208177, 5.705645148103468"
"Route Napoleon",Brié-et-Angonnes,,4337,,,,,,,,,126,"45.12096343218171, 5.78135751252039"
"Route du Souveyron",Brié-et-Angonnes,,4376,,,,,,,,,127,"45.12986221492985, 5.781017229467698"
"Route des angonnes",Brié-et-Angonnes,,4377,,,,,,,,,128,"45.13859760446276, 5.7735517653243615"
,Champ-sur-Drac,,4041,,,,,,,,,129,"45.07098722410152, 5.722949868493938"
"52 avenue de La Combe ",Gières,2021-06-01,5593,,,,,,,,,130,"45.172275275554746, 5.7899485174367555"
