plaspe_id,plaspe_type_nom,adresse,plaspe_barrette_id,plaspe_datecre,plaspe_peint_date,plaspe_arrete_num,plaspe_sign_horiz_etat,plaspe_sign_vert_etat,geo_point_2d
3040,"Bornes de recharge électrique","4 Rue Jacquard",,20140923000000,,,"Bon Etat","Bon Etat","45.17461976692572,5.724756075542875"
3464,PMR,"35 Rue Revol",6195,20230220000000,,,Dégradé,"Bon Etat","45.18974271131556,5.707905557620401"
76,PMR,"35 Rue Revol",6195,20080717000000,,,Dégradé,"Bon Etat","45.18972175378491,5.707904652994649"
64,PMR,"2 Rue Mirabeau",266,20080717000000,,,"Bon Etat","Bon Etat","45.18491419347902,5.707740091154827"
3496,"Vélos électriques et trotinettes en libre-service","21 Rue Diderot",64,20230301000000,,,"Bon Etat",,"45.19044559783819,5.704824497191541"
4409,Livraison,"6 Rue Le Brix",1314,20230609000000,,,"Bon Etat","Bon Etat","45.17866959515947,5.72310922402586"
720,PMR,"39 Avenue Marie Reynoard",4599,,,,"Bon Etat","Bon Etat","45.16252374266191,5.729119262391839"
585,PMR,"52 Rue des Alliés",5464,20080502000000,,,"Bon Etat","Bon Etat","45.17104724352462,5.726396537318323"
3968,"Vélos électriques et trotinettes en libre-service","12 Rue du Dauphiné",3502,20230419000000,,,"Bon Etat",,"45.18482012418114,5.715487427187298"
96,PMR,"4 Rue Auguste Prudhomme",6509,20080717000000,,,"Bon Etat","Bon Etat","45.191180421862256,5.736809274194666"
4427,"Vélos électriques et trotinettes en libre-service","25 Rue Colonel Bougault",5550,20230613000000,,,"Bon Etat",,"45.181180190426254,5.731985000884904"
321,PMR,"3 Rue Alfred de Musset",4579,20080717000000,,,"Bon Etat","Bon Etat","45.16470268755705,5.726966072322836"
3520,PMR,"13 Chemin de Ronde",6383,20230308000000,,,"Bon Etat","Bon Etat","45.194731439871084,5.736736458489432"
3519,PMR,"13 Chemin de Ronde",6383,20230308000000,,,"Bon Etat","Bon Etat","45.19467979940359,5.736795257468043"
1044,Livraison,"4 Rue Commandant Rozan",685,20111003000000,,,"Bon Etat","Bon Etat","45.18072059948974,5.718527839282714"
4470,Livraison,"32 Avenue Rhin et Danube",7741,20230619000000,,,"Bon Etat","Bon Etat","45.1786687950531,5.705277145034726"
4469,Livraison,"32 Avenue Rhin et Danube",7741,20230619000000,,,"Bon Etat","Bon Etat","45.178729272742714,5.705279784051982"
779,Autopartage,"15 Rue Colonel Denfert Rochereau",121,20140616000000,,,Dégradé,"Bon Etat","45.189669017896236,5.717676461494572"
3524,"Vélos électriques et trotinettes en libre-service","25 Rue Menon",322,20230308000000,,,"Bon Etat",,"45.20074175652426,5.735454927031101"
4238,Livraison,"6 Rue Ernest Hareux",7257,20230509000000,,,"Bon Etat","Bon Etat","45.20012977201271,5.713036459715694"
4237,Livraison,"6 Rue Ernest Hareux",7257,20230509000000,,,"Bon Etat","Bon Etat","45.20011635722565,5.712975623434918"
4236,Livraison,"6 Rue Ernest Hareux",7257,20230509000000,,,"Bon Etat","Bon Etat","45.20009626484651,5.712884504491519"
4235,Livraison,"6 Rue Ernest Hareux",7257,20230509000000,,,"Bon Etat","Bon Etat","45.200082206562136,5.712820750402259"
26,PMR,"6 Rue Ernest Hareux",7257,20140630000000,,,"Bon Etat","Bon Etat","45.20006808329503,5.712759819496509"
714,PMR,"14 Allée du Verderet",5786,,,,"Bon Etat","Bon Etat","45.164289193812095,5.740252693030181"
539,PMR,"4 BIS Rue Capitaine Belmont",1202,,,,"Bon Etat","Bon Etat","45.16609215523315,5.712984674289847"
4163,Autopartage,"17 Rue de l'Isère",7162,20230428000000,,,"Bon Etat","Bon Etat","45.19218358271891,5.715838951286446"
