barrette_id,barrette_place_nb_total,voie,barrette_type_nom,barrette_secteur_controle,barrette_zone_tarif,barrette_datecre,barrette_controle,barrette_sign_horiz_nom,barrette_peint_date,barrette_place_nb_active,geo_shape,geo_point_2d
348,14.0,Rue de Mortillet,Long,66.0,globale,20080717000000.0,1,Absent,,13.0,"{""type"":""LineString"",""coordinates"":[[5.7346076,45.1975665],[5.7353282,45.1979315]]}","45.19774902290503,5.734967868551447"
349,12.0,Rue de Mortillet,Long,66.0,globale,20080717000000.0,1,Absent,,12.0,"{""type"":""LineString"",""coordinates"":[[5.7355714,45.1980388],[5.7357083,45.1981147],[5.7365397,45.198262]]}","45.19813851020398,5.735939769018301"
350,7.0,Rue de Mortillet,Long,66.0,globale,20080717000000.0,1,Absent,,6.5,"{""type"":""LineString"",""coordinates"":[[5.7367983,45.1983925],[5.7372368,45.198499]]}","45.19844571383216,5.737017570971178"
4384,,Chemin Joseph Brun,Long,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.7447363,45.1864977],[5.7447903,45.1865687]]}","45.18653321753577,5.744763300356"
491,5.0,Place d'Apvril,Long,,,20080717000000.0,1,,,0.0,"{""type"":""LineString"",""coordinates"":[[5.7298215,45.1860808],[5.7300081,45.1862764]]}","45.186178588900844,5.729914832182802"
492,6.0,Place d'Apvril,Long,17.0,orange,20080717000000.0,1,Dégradé,,5.0,"{""type"":""LineString"",""coordinates"":[[5.7293101,45.1861531],[5.7296775,45.1860066]]}","45.18607986647994,5.729493818997283"
4385,,Chemin Joseph Brun,Long,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.7448347,45.1866256],[5.7448825,45.1866885]]}","45.186657032839484,5.744858599308926"
4386,,Chemin Joseph Brun,Long,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.7449512,45.186784],[5.7449751,45.1868165]]}","45.186800295684066,5.744963108680103"
4389,5.0,Rue de Londres,Long,59.0,vert,20121004114146.0,1,Dégradé,,5.0,"{""type"":""LineString"",""coordinates"":[[5.7154928,45.1841533],[5.7157677,45.1841268],[5.7158042,45.1841341],[5.7158305,45.184151]]}","45.184141297511424,5.715723775551135"
4391,,Rue René Lesage,Mixte,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.7202786,45.1696411],[5.7208701,45.1694219]]}","45.16953149868182,5.720574335934778"
494,3.0,Place de Metz,Long,17.0,orange,20080717000000.0,1,,,0.0,"{""type"":""LineString"",""coordinates"":[[5.7302138,45.1871864],[5.7304058,45.1871087]]}","45.18714754761609,5.730309784478237"
4392,,Rue René Lesage,Mixte,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.7211168,45.1692928],[5.7214259,45.1691581]]}","45.16922545714862,5.72127133923995"
496,5.0,Place de Metz,Long,17.0,orange,20080717000000.0,1,Dégradé,,4.0,"{""type"":""LineString"",""coordinates"":[[5.7309599,45.1872732],[5.7307796,45.1870865]]}","45.18717982040637,5.730869725186295"
497,5.0,Place de l'Étoile,Long,17.0,orange,20080717000000.0,1,Bon Etat,,4.0,"{""type"":""LineString"",""coordinates"":[[5.7287229,45.1875255],[5.729028,45.1876374]]}","45.18758144281239,5.7288754765903676"
500,3.0,Place Vaucanson,Long,3.0,orange,20080717000000.0,1,Bon Etat,,3.0,"{""type"":""LineString"",""coordinates"":[[5.7278172,45.1884702],[5.7279863,45.1885309]]}","45.188500530372934,5.727901747940423"
501,11.0,Place Vaucanson,Long,3.0,orange,20080717000000.0,1,Absent,,9.0,"{""type"":""LineString"",""coordinates"":[[5.7276787,45.1882926],[5.7277327,45.1882097]]}","45.188251141584416,5.727705691923376"
502,3.0,Place Vaucanson,Long,3.0,orange,20080717000000.0,1,Dégradé,,3.0,"{""type"":""LineString"",""coordinates"":[[5.7280108,45.1879479],[5.728194,45.1880151]]}","45.18798152582849,5.728102408031823"
503,3.0,Place Vaucanson,Long,3.0,orange,20080717000000.0,1,Dégradé,,3.0,"{""type"":""LineString"",""coordinates"":[[5.7287742,45.18822],[5.7288757,45.1882575],[5.7289434,45.1882828]]}","45.18825345348361,5.728864424011246"
4395,,Rue John Kennedy,Mixte,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.7186669,45.1757962],[5.7187166,45.1759373]]}","45.17586673134669,5.718691711089056"
357,1.0,Place de la Gare,Long,66.0,globale,20080717000000.0,1,,,0.0,"{""type"":""LineString"",""coordinates"":[[5.7154678,45.1910906],[5.7155021,45.1910167]]}","45.1910536208647,5.715484933855384"
4396,,Rue John Kennedy,Mixte,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.718793,45.176025],[5.718836,45.1761561]]}","45.17609054543006,5.7188145247262465"
360,3.0,Place Firmin Gautier,Long,51.0,vert,20080717000000.0,1,Bon Etat,,3.0,"{""type"":""LineString"",""coordinates"":[[5.7113766,45.1907716],[5.7113606,45.1906255]]}","45.190698567111596,5.7113685874904"
361,6.0,Rue du Vercors,Long,64.0,vert,20080717000000.0,1,Absent,,5.0,"{""type"":""LineString"",""coordinates"":[[5.710942,45.1908693],[5.7113219,45.190842]]}","45.19085564605474,5.711131954107822"
4397,,Rue John Kennedy,Mixte,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.7188763,45.176271],[5.7189096,45.1763679]]}","45.1763194257734,5.718892935423886"
4399,,,Long,66.0,globale,20141120000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.7360109,45.1723418],[5.7365321,45.172483]]}","45.17241240691013,5.736271521248632"
364,8.0,Rue Félix Esclangon,Long,51.0,vert,20080717000000.0,1,Absent,,8.0,"{""type"":""LineString"",""coordinates"":[[5.7089603,45.1933761],[5.7092956,45.1936351]]}","45.193505610684205,5.709127944779545"
4400,,Rue du 140ème R.I.A.,Épis,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.7412379,45.1767426],[5.7411602,45.176186]]}","45.17646428079149,5.741199047696974"
4401,,Rue du 140ème R.I.A.,Épis,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.7411121,45.1758461],[5.7410693,45.1755479]]}","45.175696995481715,5.741090678227312"
371,9.0,Rue Eugène Delacroix,Long,66.0,globale,20080717000000.0,1,Bon Etat,,8.0,"{""type"":""LineString"",""coordinates"":[[5.7371107,45.1969814],[5.7375578,45.1967379]]}","45.19685964837714,5.737334278452777"
4402,,Rue du 140ème R.I.A.,Épis,66.0,globale,20080717000000.0,0,,,,"{""type"":""LineString"",""coordinates"":[[5.741353,45.1751883],[5.7419504,45.1749812]]}","45.17508477168677,5.7416517141682935"
374,1.0,Rue Blanche Monier,Long,66.0,globale,20080717000000.0,1,Absent,,1.0,"{""type"":""LineString"",""coordinates"":[[5.7405241,45.1969764],[5.7405923,45.1969893]]}","45.19698285270286,5.740558169427034"
375,3.0,Chemin de Halage,Long,66.0,globale,20080717000000.0,1,Absent,,2.0,"{""type"":""LineString"",""coordinates"":[[5.7423035,45.1973412],[5.742299,45.1974805]]}","45.1974108183973,5.742301244377893"
4403,2.0,Rue Marcel Benoit,Long,33.0,violet,20080717000000.0,1,Dégradé,,2.0,"{""type"":""LineString"",""coordinates"":[[5.7305882,45.1893203],[5.7306638,45.1892223]]}","45.18927131164187,5.730626006912876"
377,3.0,Rue Bizanet,Long,66.0,globale,20080717000000.0,1,Absent,,3.0,"{""type"":""LineString"",""coordinates"":[[5.7404544,45.1976061],[5.7406898,45.1976292]]}","45.1976176400298,5.740572131247518"
378,11.0,Rue Bizanet,Long,66.0,globale,20080717000000.0,1,Absent,,11.0,"{""type"":""LineString"",""coordinates"":[[5.7414273,45.1977629],[5.7421539,45.1978365]]}","45.197799685333635,5.741790563772007"
