id,geo_point_2d,nom,insee,adresse,type_usagers,gratuit,nb_places,nb_pr,hauteur_max,num_siret,tarif_pmr,tarif_1h,tarif_3h,tarif_4h,tarif_24h,abo_resident,abo_non_resident,type_ouvrage,code,type,commune,epci,nb_pmr,nb_velo,nb_covoit,codes,url,nb_voitures_electriques,nb_2r_el,nb_autopartage,nb_2_rm,info
38006-P-001,"45.394138,6.075166","ALLEVARD PLACE DE VERDUN",38006,"Place de Verdun, 38580, Allevard",tous,1,12,0,330,20001816600245,gratuit,0,0,0,0,0,0,enclos_en_surface,38006-P-001,parking,Allevard,LeGresivaudan,,,,,,,,,,
38039-P-001,"45.264254,5.878285","BERNIN CLOYÈRES",38039,"Chemin des Fontaines, 38190, Bernin",tous,1,22,22,220,20001816600245,gratuit,0,0,0,0,0,0,enclos_en_surface,38039-P-001,parking,Bernin,LeGresivaudan,1,8,,,,,,,,
38059-P-001,"45.135023,5.771173","BRIÉ ET ANGONNES - TAVERNOLLES",38059,"Route de Jarrie, 38320, Brié-et-Angonnes",tous,1,36,36,330,30150323100039,gratuit,0,0,0,0,0,0,enclos_en_surface,38059-P-001,parking,Brié-et-Angonnes,LaMetro,1,10,2,,,,,,,
38133-P-001,"45.353332,5.597965","PLAN MENU",38133,"Route de Grenoble, 38500, Coublevie",tous,1,150,150,190,24380098400029,gratuit,,,,,,,enclos_en_surface,38133-P-001,parking,Coublevie,PaysVoironnais,3,14,,,,,,,,
38140-P-001,"45.270568,5.893637","CROLLES RAFOUR",38140,"rue Ambroise Croisat, 38920, Crolles",tous,1,41,0,200,20001816600245,gratuit,0,0,0,0,0,0,enclos_en_surface,38140-P-001,parking,Crolles,LeGresivaudan,,0,41,,,,,,,
38150-P-001,"45.20669,5.847088","DOMENE LES ARNAUDS",38150,"106 Chemin des Contamines, 38420, Domène",tous,1,40,40,330,30150323100039,gratuit,0,0,0,0,0,0,enclos_en_surface,38150-P-001,parking,Domène,LaMetro,1,,,,,,,,,
38151-P-001,"45.152657,5.718526","ECHIROLLES - GARE",38151,"Avenue des Etats Généraux, 38130, Echirolles ",tous,,100,100,220,30150323100039,normal_payant,,,,,,,enclos_en_surface,38151-P-001,parking,Échirolles,LaMetro,3,,,Array,,,,,,
38158-P-001,"45.147116,5.754957","EYBENS - LE VERDERET",38158,"Avenue des Maquis de l’Oisans, 38320, Eybens",tous,,43,43,210,30150323100039,normal_payant,,,,,,,enclos_en_surface,38158-P-001,parking,Eybens,LaMetro,3,15,,Array,,,,,,
38170-P-001,"45.254102,5.660793","LE FONTANIL CORNILLON - PALLUEL",38170,"Rue des Mûriers, 38120, Fontanil-Cornillon",tous,,189,189,210,30150323100039,normal_payant,,,,,,,enclos_en_surface,38170-P-001,parking,Fontanil-Cornillon,LaMetro,6,,,Array,,,,,,
38179-P-001,"45.187638,5.783864","GIERES - PLAINE DES SPORTS",38179,"Rue des Glairons, 38610, Gières",tous,,160,160,235,30150323100039,normal_payant,,,,,,,enclos_en_surface,38179-P-001,parking,Gières,LaMetro,8,,,Array,,,,,,
38181-P-001,"45.343037,5.975274","GARE DE GONCELIN",38181,"Place de la Gare, 38570, Goncelin",tous,1,130,130,330,20001816600245,gratuit,0,0,0,0,0,0,enclos_en_surface,38181-P-001,parking,Goncelin,LeGresivaudan,2,10,,,,,,,,
38185-P-001,"45.18878,5.716033",ESTACADE,38185,"22 rue Colonel Denfert Rochereau, 38000, Grenoble",tous,,581,0,240,84935057400018,normal_payant,2.1,7.4,10,29,0,0,ouvrage,38185-P-001,parking,Grenoble,LaMetro,12,,0,Array,https://www.effia.com/parking/parking-grenoble-estacade-park-grenoble-alpes-metropole,3,0,0,12,
38185-P-002,"45.191959,5.712008","GARES - EUROPOLE",38185,"2 avenue Doyen Louis Weil, 38000, Grenoble",tous,,548,0,210,84935057400018,normal_payant,2.1,7.4,10,29,0,0,ouvrage,38185-P-002,parking,Grenoble,LaMetro,21,,3,Array,https://www.effia.com/parking/parking-grenoble-gares-europole-park-grenoble-alpes-metropole,0,0,0,12,"Dépose minute, 30 premières minutes gratuites"
38185-P-003,"45.185748,5.726327","VICTOR HUGO",38185,"Rue François Raoult, 38000 Grenoble",tous,,660,0,190,84935057400018,normal_payant,2.1,7.4,10,29,0,0,ouvrage,38185-P-003,parking,Grenoble,LaMetro,14,,0,Array,https://www.effia.com/parking/parking-grenoble-victor-hugo-park-grenoble-alpes-metropole,4,0,0,0,
38185-P-004,"45.190778,5.729321",LAFAYETTE,38185,"21 rue Lafayette, 38000, Grenoble",tous,,285,0,190,84935057400018,normal_payant,2.1,7.4,10,29,0,0,ouvrage,38185-P-004,parking,Grenoble,LaMetro,5,,0,Array,https://www.effia.com/parking/parking-grenoble-lafayette-park-grenoble-alpes-metropole,3,0,0,6,
38185-P-005,"45.194399,5.732239","NOTRE DAME - MUSÉE",38185,"50 av du Maréchal Randon, 38000 Grenoble",tous,,851,0,190,84935057400018,normal_payant,2.2,7.7,10.5,33,0,0,ouvrage,38185-P-005,parking,Grenoble,LaMetro,16,,3,Array,https://www.effia.com/parking/parking-grenoble-notre-dame-musee-park-grenoble-alpes-metropole,4,0,0,10,
38185-P-006,"45.191835,5.725235","GRENETTE - TELEPHERIQUE",38185,"12 rue de Belgrade, 38000, Grenoble",tous,,517,0,190,84935057400018,normal_payant,2.2,7.7,10.5,33,0,0,ouvrage,38185-P-006,parking,Grenoble,LaMetro,10,,3,Array,https://www.effia.com/parking/parking-grenoble-grenette-telepherique-park-grenoble-alpes-metropole,4,0,0,8,
38185-P-007,"45.185621,5.712443",SAINT-BRUNO,38185,"33 bis rue Nicolas Chorier, 38000, Grenoble",tous,,120,0,236,84935057400018,normal_payant,2.1,7.4,10,29,0,0,ouvrage,38185-P-007,parking,Grenoble,LaMetro,2,,0,Array,https://www.effia.com/parking/parking-grenoble-estacade-park-grenoble-alpes-metropole,0,0,0,0,
38185-P-008,"45.18897,5.732018","PREFECTURE - LES HALLES",38185,"Place de Verdun, 38000, Grenoble",tous,,110,0,190,84935057400018,normal_payant,2.1,7.4,10,29,0,0,ouvrage,38185-P-008,parking,Grenoble,LaMetro,3,,0,Array,https://www.effia.com/parking/parking-grenoble-prefecture-les-halles-park-grenoble-alpes-metropole,4,0,0,0,
38185-P-009,"45.185612,5.731463",CHAVANT,38185,"19 Bd Maréchal Lyautey, 38000, Grenoble",tous,,394,0,190,37882179700032,normal_payant,2,,,22.1,,,ouvrage,38185-P-009,parking,Grenoble,LaMetro,,,,Array,https://www.q-park-resa.fr/fr/parking/grenoble/chavant-25.html,,,,,
